model,exp_num,max_depth,class_weight,criterion,n_estimators,accuracy,precision,recall,f1_score,micro_avg_f1_score
rf,0,3,balanced,gini,50,0.5369458128078818,0.926829268292683,0.3089430894308943,0.4634146341463415,0.5369458128078818
rf,1,4,balanced,gini,50,0.6551724137931034,0.8734177215189873,0.5609756097560976,0.6831683168316832,0.6551724137931034
