model,exp_num,max_depth,learning_rate,gamma,n_estimators,accuracy,precision,recall,f1_score,micro_avg_f1_score
xgb,0,3,0.1,0,50,0.5024630541871922,0.8297872340425532,0.3170731707317073,0.45882352941176474,0.5024630541871922
xgb,1,4,0.1,0,50,0.5221674876847291,0.8431372549019608,0.34959349593495936,0.49425287356321834,0.5221674876847291
