model,exp_num,max_depth,class_weight,criterion,n_estimators,accuracy,precision,recall,f1_score,micro_avg_f1_score
rf,0,3,balanced,gini,50,0.7876106194690266,0.3134920634920635,0.8061224489795918,0.4514285714285715,0.7876106194690264
rf,1,4,balanced,gini,50,0.7964601769911505,0.3237704918032787,0.8061224489795918,0.4619883040935673,0.7964601769911505
