,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_f1_micro,split1_test_f1_micro,split2_test_f1_micro,split3_test_f1_micro,split4_test_f1_micro,mean_test_f1_micro,std_test_f1_micro,rank_test_f1_micro
0,0.020908355712890625,0.015549593827804875,0.0029811859130859375,0.00012426572126250017,0.2,3,50,"{'colsample_bytree': 0.2, 'max_depth': 3, 'n_estimators': 50}",0.8913443830570903,0.8950276243093923,0.8892988929889298,0.9040590405904059,0.9022140221402214,0.8963887926172079,0.005836634761189028,11,0.5625,0.6153846153846154,0.525,0.7272727272727273,0.7368421052631579,0.6333998895841002,0.08557369005678479,1,0.2857142857142857,0.25396825396825395,0.3387096774193548,0.25806451612903225,0.22580645161290322,0.272452636968766,0.0381848760144181,27,0.3789473684210526,0.3595505617977528,0.4117647058823529,0.38095238095238093,0.345679012345679,0.3753788058798436,0.02236221877804877,27,0.8913443830570903,0.8950276243093922,0.8892988929889298,0.904059040590406,0.9022140221402214,0.8963887926172079,0.005836634761189063,11
1,0.024694108963012697,0.00012911871551976676,0.002989387512207031,3.073828579080709e-05,0.2,3,100,"{'colsample_bytree': 0.2, 'max_depth': 3, 'n_estimators': 100}",0.9005524861878453,0.8950276243093923,0.8892988929889298,0.9040590405904059,0.9040590405904059,0.8985994169333958,0.005704154777975693,9,0.6,0.6153846153846154,0.5208333333333334,0.6666666666666666,0.6470588235294118,0.6099886877828055,0.05032723994011311,6,0.42857142857142855,0.25396825396825395,0.4032258064516129,0.3225806451612903,0.3548387096774194,0.352636968766001,0.061593860434031124,17,0.5,0.3595505617977528,0.45454545454545453,0.4347826086956521,0.4583333333333333,0.44144239167443855,0.046122905739800095,14,0.9005524861878453,0.8950276243093922,0.8892988929889298,0.904059040590406,0.904059040590406,0.8985994169333958,0.005704154777975749,9
2,0.03654050827026367,0.0005556760195253177,0.003140687942504883,0.00010136463396867872,0.2,3,150,"{'colsample_bytree': 0.2, 'max_depth': 3, 'n_estimators': 150}",0.9042357274401474,0.8913443830570903,0.8911439114391144,0.9095940959409594,0.9003690036900369,0.8993374243134697,0.007228820154818355,7,0.6170212765957447,0.5714285714285714,0.5283018867924528,0.7096774193548387,0.6111111111111112,0.6075080530565438,0.06019536299092245,7,0.4603174603174603,0.25396825396825395,0.45161290322580644,0.3548387096774194,0.3548387096774194,0.37511520737327186,0.07564413845692178,4,0.5272727272727272,0.3516483516483516,0.48695652173913045,0.4731182795698926,0.4489795918367347,0.4575950944133673,0.058748573429587135,4,0.9042357274401474,0.8913443830570903,0.8911439114391144,0.9095940959409595,0.9003690036900369,0.8993374243134697,0.007228820154818387,7
3,0.01626272201538086,0.00028455959678169685,0.0029741764068603516,1.7095526533795698e-05,0.2,4,50,"{'colsample_bytree': 0.2, 'max_depth': 4, 'n_estimators': 50}",0.8950276243093923,0.8968692449355433,0.8985239852398524,0.9059040590405905,0.9022140221402214,0.8997077871331198,0.003899682865276564,5,0.5714285714285714,0.6296296296296297,0.5853658536585366,0.7037037037037037,0.6666666666666666,0.6313588850174215,0.049376925745484225,2,0.38095238095238093,0.2698412698412698,0.3870967741935484,0.3064516129032258,0.2903225806451613,0.32693292370711724,0.04807712328940646,23,0.4571428571428571,0.37777777777777777,0.4660194174757281,0.42696629213483145,0.4044943820224719,0.42648014531073325,0.0327386214421271,20,0.8950276243093922,0.8968692449355433,0.8985239852398524,0.9059040590405905,0.9022140221402214,0.8997077871331198,0.0038996828652765906,5
4,0.030868101119995116,0.0008204123114182005,0.003123760223388672,8.381828864086111e-05,0.2,4,100,"{'colsample_bytree': 0.2, 'max_depth': 4, 'n_estimators': 100}",0.8950276243093923,0.8931860036832413,0.8911439114391144,0.9077490774907749,0.9022140221402214,0.8978641278125489,0.006192345539476697,10,0.5652173913043478,0.5925925925925926,0.5333333333333333,0.6875,0.6551724137931034,0.6067631462046753,0.056887060932073075,8,0.4126984126984127,0.25396825396825395,0.3870967741935484,0.3548387096774194,0.3064516129032258,0.34301075268817205,0.056929755131243515,20,0.4770642201834862,0.3555555555555555,0.4485981308411215,0.4680851063829787,0.41758241758241765,0.43337708610911196,0.04393302796134953,18,0.8950276243093922,0.8931860036832414,0.8911439114391144,0.9077490774907749,0.9022140221402214,0.8978641278125489,0.006192345539476691,10
5,0.046225881576538085,0.0017485981748381538,0.0032025814056396485,4.9320869535952026e-05,0.2,4,150,"{'colsample_bytree': 0.2, 'max_depth': 4, 'n_estimators': 150}",0.9042357274401474,0.8931860036832413,0.8948339483394834,0.9077490774907749,0.9022140221402214,0.9004437558187737,0.005568222739314452,3,0.6122448979591837,0.5925925925925926,0.5510204081632653,0.6764705882352942,0.6451612903225806,0.6154979554545832,0.043104912757861734,5,0.47619047619047616,0.25396825396825395,0.43548387096774194,0.3709677419354839,0.3225806451612903,0.3718381976446492,0.0790702947541297,6,0.5357142857142858,0.3555555555555555,0.48648648648648646,0.47916666666666674,0.4301075268817204,0.457406104260943,0.060942774120718655,5,0.9042357274401474,0.8931860036832414,0.8948339483394835,0.9077490774907749,0.9022140221402214,0.9004437558187737,0.005568222739314402,3
6,0.01992454528808594,0.000195863066966771,0.0029990673065185547,2.5225992655651304e-05,0.2,5,50,"{'colsample_bytree': 0.2, 'max_depth': 5, 'n_estimators': 50}",0.8950276243093923,0.8876611418047882,0.8911439114391144,0.8948339483394834,0.8929889298892989,0.8923311111564154,0.002727128876615653,23,0.5789473684210527,0.5333333333333333,0.5333333333333333,0.5925925925925926,0.6,0.5676413255360624,0.028815109940694826,20,0.3492063492063492,0.25396825396825395,0.3870967741935484,0.25806451612903225,0.1935483870967742,0.2883768561187916,0.07005865806400287,26,0.43564356435643564,0.3440860215053763,0.4485981308411215,0.3595505617977528,0.2926829268292683,0.3761122410659909,0.05840993255045296,26,0.8950276243093922,0.8876611418047882,0.8911439114391144,0.8948339483394835,0.8929889298892989,0.8923311111564155,0.0027271288766156517,23
7,0.03794546127319336,0.0017914884699918264,0.0031442165374755858,0.00010138363146813307,0.2,5,100,"{'colsample_bytree': 0.2, 'max_depth': 5, 'n_estimators': 100}",0.9023941068139963,0.8802946593001841,0.8929889298892989,0.8948339483394834,0.8966789667896679,0.8934381222265261,0.007288531476271646,22,0.6190476190476191,0.4642857142857143,0.5416666666666666,0.5862068965517241,0.6071428571428571,0.5636699507389162,0.05625986958824916,22,0.4126984126984127,0.20634920634920634,0.41935483870967744,0.27419354838709675,0.27419354838709675,0.317357910906298,0.0843118514019491,24,0.49523809523809526,0.2857142857142857,0.4727272727272728,0.3736263736263736,0.37777777777777777,0.401016761016761,0.07563729475131561,24,0.9023941068139963,0.8802946593001841,0.8929889298892989,0.8948339483394835,0.8966789667896679,0.8934381222265261,0.007288531476271651,22
8,0.05483732223510742,0.0008556181410968792,0.0031723976135253906,5.961971092546912e-05,0.2,5,150,"{'colsample_bytree': 0.2, 'max_depth': 5, 'n_estimators': 150}",0.9023941068139963,0.8821362799263351,0.8911439114391144,0.8948339483394834,0.9003690036900369,0.8941754500417932,0.007217643511693889,20,0.6086956521739131,0.4827586206896552,0.5294117647058824,0.5757575757575758,0.6333333333333333,0.5659913893320719,0.054258147033799047,21,0.4444444444444444,0.2222222222222222,0.43548387096774194,0.3064516129032258,0.3064516129032258,0.343010752688172,0.084974210115079,21,0.5137614678899082,0.30434782608695654,0.4778761061946903,0.39999999999999997,0.4130434782608696,0.4218057756864849,0.07203939328658966,22,0.9023941068139963,0.8821362799263351,0.8911439114391144,0.8948339483394835,0.9003690036900369,0.8941754500417932,0.007217643511693891,20
9,0.01704726219177246,0.00025630898127137396,0.003016233444213867,4.953119441993025e-05,0.5,3,50,"{'colsample_bytree': 0.5, 'max_depth': 3, 'n_estimators': 50}",0.8913443830570903,0.8931860036832413,0.8892988929889298,0.9077490774907749,0.8985239852398524,0.8960204684919779,0.006616757637137107,15,0.5476190476190477,0.5757575757575758,0.5208333333333334,0.75,0.6206896551724138,0.6029799223764741,0.08060084684530393,10,0.36507936507936506,0.30158730158730157,0.4032258064516129,0.2903225806451613,0.2903225806451613,0.3301075268817204,0.04593125171192136,22,0.43809523809523804,0.39583333333333337,0.45454545454545453,0.4186046511627908,0.3956043956043956,0.4205366145482425,0.023240079972283237,23,0.8913443830570903,0.8931860036832414,0.8892988929889298,0.9077490774907749,0.8985239852398524,0.8960204684919779,0.0066167576371370974,15
