,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0422919750213623,0.016725208966741945,0.001555013656616211,0.0001233827917991915,0.5756318160453838,4,72,"{'colsample_bytree': 0.5756318160453838, 'max_depth': 4, 'n_estimators': 72}",0.8824600350024078,0.7606348473353785,0.6720378162173394,0.5803096925623562,0.6555904760499511,0.7102065734334866,0.10346713257076538,11
1,0.06760950088500976,0.0017153013325005534,0.0017591953277587891,4.802216580117939e-05,0.5107131882359732,5,113,"{'colsample_bytree': 0.5107131882359732, 'max_depth': 5, 'n_estimators': 113}",0.9226736395686167,0.7893596287203343,0.6499766245909303,0.5805215126194488,0.6622686954877639,0.7209600201974188,0.12130389865510961,1
2,0.016986751556396486,0.0001569658986071554,0.0014516353607177735,0.00014356668083721384,0.23913953001137644,3,50,"{'colsample_bytree': 0.23913953001137644, 'max_depth': 3, 'n_estimators': 50}",0.7131196652102577,0.6953057708871663,0.6008310985479935,0.5074178403755868,0.6131253204423935,0.6259599390926796,0.07382963832422854,16
3,0.04689855575561523,0.0006328089272583023,0.0016233444213867188,4.2320849161859936e-05,0.5602470087056683,4,100,"{'colsample_bytree': 0.5602470087056683, 'max_depth': 4, 'n_estimators': 100}",0.8904787140081257,0.7893596287203343,0.6507122507122507,0.5725684323446919,0.6555904760499511,0.7117419003670707,0.11332979757900005,10
4,0.05112504959106445,0.0005620092441096186,0.0016875267028808594,3.268891746621496e-05,0.25803364769135745,4,123,"{'colsample_bytree': 0.25803364769135745, 'max_depth': 4, 'n_estimators': 123}",0.8426278582971918,0.6864115805946792,0.6702291014065476,0.5741885416060376,0.6160229019326147,0.6778959967674142,0.09148923300142428,14
5,0.06203413009643555,0.0008780308442425669,0.001837158203125,0.000123463223599185,0.6296819621531882,4,133,"{'colsample_bytree': 0.6296819621531882, 'max_depth': 4, 'n_estimators': 133}",0.8928565721018552,0.7728267541025974,0.6582824582824583,0.5805215126194488,0.6622686954877639,0.7133511985188247,0.10866943874010518,8
6,0.03702425956726074,0.00025399732847489155,0.001546955108642578,4.274243383187026e-05,0.5764481258255985,3,103,"{'colsample_bytree': 0.5764481258255985, 'max_depth': 3, 'n_estimators': 103}",0.8824600350024078,0.7646430305973775,0.6887900255175535,0.5955481057613882,0.6555904760499511,0.7174063345857356,0.09895812338028817,4
7,0.03927593231201172,0.0004471573191375183,0.0016123294830322266,9.598467871058914e-05,0.4888466668916417,5,65,"{'colsample_bytree': 0.4888466668916417, 'max_depth': 5, 'n_estimators': 65}",0.886586270147914,0.7575364462402464,0.6293422733077905,0.5919501684436119,0.6398820985777507,0.7010594513434626,0.10807470488510379,12
8,0.03176040649414062,0.00033742677928155676,0.001474618911743164,4.8743394261956244e-05,0.8486980957789447,4,65,"{'colsample_bytree': 0.8486980957789447, 'max_depth': 4, 'n_estimators': 65}",0.8904787140081257,0.7889544196883648,0.6732758999490803,0.5728217130656156,0.6482059664095838,0.7147473426241541,0.11196314108363829,6
9,0.06888117790222167,0.0014182458554966996,0.0020003318786621094,0.0002314078004551697,0.81311987226096,5,115,"{'colsample_bytree': 0.81311987226096, 'max_depth': 5, 'n_estimators': 115}",0.9126910126910127,0.7805908352637324,0.6334834301062527,0.5961159028130109,0.6614384292663255,0.7168639220280668,0.11577024206023304,5
10,0.0654571533203125,0.0011221119643890461,0.001791238784790039,7.972098399512829e-05,0.9184989129498673,5,108,"{'colsample_bytree': 0.9184989129498673, 'max_depth': 5, 'n_estimators': 108}",0.921105013059036,0.779969957358832,0.6418472375174562,0.5725684323446919,0.6548198366134907,0.7140620953787014,0.1232523457226544,7
11,0.054683685302734375,0.0006421649943218407,0.0017049789428710937,9.537188996384333e-05,0.5308134220606182,4,118,"{'colsample_bytree': 0.5308134220606182, 'max_depth': 4, 'n_estimators': 118}",0.8928565721018552,0.8003260339281536,0.6582824582824583,0.5803096925623562,0.6555904760499511,0.7174730465849548,0.11293428398920637,3
12,0.03201971054077148,0.0004981859809225488,0.0015121936798095704,3.6827946133872384e-05,0.4225570501061202,3,91,"{'colsample_bytree': 0.4225570501061202, 'max_depth': 3, 'n_estimators': 91}",0.8639898046677708,0.7273643373973367,0.6867484367484368,0.5663751334483041,0.6296698796698796,0.6948295183863455,0.10048415627431134,13
13,0.06436619758605958,0.0007705144727284058,0.0017467498779296874,4.1827235753166044e-05,0.5190487736146758,4,141,"{'colsample_bytree': 0.5190487736146758, 'max_depth': 4, 'n_estimators': 141}",0.8928565721018552,0.7728267541025974,0.6509564509564509,0.5805215126194488,0.6622686954877639,0.7118859970536232,0.10944865360152327,9
14,0.06872105598449707,0.0007897822917156077,0.0018174171447753907,4.733540157466506e-05,0.2901757346519618,5,142,"{'colsample_bytree': 0.2901757346519618, 'max_depth': 5, 'n_estimators': 142}",0.8378289418862389,0.6750796937132341,0.655054204287206,0.5513415982771667,0.5984065460809648,0.6635421968489621,0.09737828984753218,15
15,0.07257790565490722,0.0008779045591581137,0.0018625736236572265,9.471724121143605e-05,0.5303369098339733,5,124,"{'colsample_bytree': 0.5303369098339733, 'max_depth': 5, 'n_estimators': 124}",0.9226736395686167,0.7893596287203343,0.6499766245909303,0.5805215126194488,0.6622686954877639,0.7209600201974188,0.12130389865510961,1
