,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.04055852890014648,0.012217175135277336,0.001659536361694336,6.773531835277505e-05,0.5756318160453838,4,72,"{'colsample_bytree': 0.5756318160453838, 'max_depth': 4, 'n_estimators': 72}",0.5090909090909091,0.3440860215053763,0.4482758620689655,0.4375,0.46,0.4397905585330502,0.05375419156497391,5
1,0.06318035125732421,0.0005887532278556069,0.0018204212188720702,0.00011293821403092313,0.5107131882359732,5,113,"{'colsample_bytree': 0.5107131882359732, 'max_depth': 5, 'n_estimators': 113}",0.5137614678899082,0.40425531914893614,0.45454545454545453,0.4536082474226804,0.4044943820224719,0.44613297420589026,0.040466709886485035,2
2,0.015740585327148438,0.00023243869309111116,0.001540374755859375,5.363941171432307e-06,0.23913953001137644,3,50,"{'colsample_bytree': 0.23913953001137644, 'max_depth': 3, 'n_estimators': 50}",0.39175257731958757,0.4130434782608695,0.45714285714285713,0.4130434782608696,0.4044943820224719,0.41589535460133115,0.022047579158971334,8
3,0.04732527732849121,0.0003604467117519167,0.0017295360565185546,4.9767135784396916e-05,0.5602470087056683,4,100,"{'colsample_bytree': 0.5602470087056683, 'max_depth': 4, 'n_estimators': 100}",0.4955752212389381,0.3440860215053763,0.4672897196261682,0.44210526315789467,0.4516129032258064,0.44013382575083676,0.0513264598259746,4
4,0.04313468933105469,0.000343435619928583,0.001714611053466797,2.0940481740227458e-05,0.25803364769135745,4,123,"{'colsample_bytree': 0.25803364769135745, 'max_depth': 4, 'n_estimators': 123}",0.49056603773584895,0.3829787234042553,0.46846846846846857,0.4731182795698926,0.38636363636363635,0.4402990291084203,0.0460261593175344,3
5,0.06307497024536132,0.0007017640596994191,0.0017743587493896484,2.824204686339734e-05,0.6296819621531882,4,133,"{'colsample_bytree': 0.6296819621531882, 'max_depth': 4, 'n_estimators': 133}",0.49541284403669733,0.3595505617977528,0.40740740740740744,0.43298969072164945,0.4489795918367347,0.42886801916004835,0.0449780946724658,7
6,0.03809990882873535,0.00012904226696104645,0.0017261028289794922,0.0001204498023692486,0.5764481258255985,3,103,"{'colsample_bytree': 0.5764481258255985, 'max_depth': 3, 'n_estimators': 103}",0.5,0.38383838383838387,0.4464285714285714,0.47524752475247517,0.43298969072164945,0.44770083414821593,0.03947270415099472,1
7,0.037582683563232425,0.0005097014607009243,0.0017296314239501954,0.0001221193460987918,0.4888466668916417,5,65,"{'colsample_bytree': 0.4888466668916417, 'max_depth': 5, 'n_estimators': 65}",0.5233644859813084,0.3789473684210526,0.40384615384615385,0.46464646464646464,0.41666666666666663,0.43749422791232917,0.05119503908113665,6
