,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_n_estimators,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error
0,0.016027116775512697,0.012833416505523637,0.0011018276214599609,0.00013927895080210548,0.2,3,50,"{'colsample_bytree': 0.2, 'max_depth': 3, 'n_estimators': 50}",-0.46844238953237927,-0.4634373734938167,-0.5521389881304869,-0.41762253562241836,-0.5584668357506881,-0.4920216245059579,0.054657712467840826,7,-0.5161255473891894,-0.5593968039999405,-0.5724550553907951,-0.5044288542121649,-0.5992325594287893,-0.5503277640841758,0.035327171037460796,8
1,0.017689085006713866,0.00043298293815227504,0.001083230972290039,1.4775490117541743e-05,0.2,3,100,"{'colsample_bytree': 0.2, 'max_depth': 3, 'n_estimators': 100}",-0.48600175148457186,-0.47658016953721916,-0.5725295811069099,-0.46450903526715703,-0.5854590682238956,-0.5170159211239508,0.0512252527896753,18,-0.5282269213348627,-0.5643206859628359,-0.5797836445271969,-0.5264340111364921,-0.6114399267740899,-0.5620410379470955,0.03216054085748677,17
2,0.02569732666015625,0.00020393866475198149,0.0011209011077880859,2.3343407112506782e-05,0.2,3,150,"{'colsample_bytree': 0.2, 'max_depth': 3, 'n_estimators': 150}",-0.5071414309273002,-0.4825520638056422,-0.6102703098779433,-0.47887762120799876,-0.5977406119649021,-0.5353164075567574,0.057058059296195555,22,-0.5421104251096646,-0.5633819761375586,-0.587687681739529,-0.5350877977907658,-0.6224624498976463,-0.5701460661350328,0.0319547947842224,23
3,0.012162446975708008,0.0003242728280876156,0.0010719776153564453,1.314843338145298e-05,0.2,4,50,"{'colsample_bytree': 0.2, 'max_depth': 4, 'n_estimators': 50}",-0.42681175048447323,-0.5494249108818255,-0.552067134194798,-0.43822022808690014,-0.6578045595030325,-0.5248657166302059,0.0850150904792729,20,-0.5167799356083075,-0.5870978962630033,-0.5682195300857226,-0.5176643344263235,-0.6438423669775118,-0.5667208126721737,0.04746753645981288,21
4,0.02321906089782715,0.00039308447626920466,0.0011350631713867188,2.1769274432231362e-05,0.2,4,100,"{'colsample_bytree': 0.2, 'max_depth': 4, 'n_estimators': 100}",-0.4728750328916021,-0.5536267603004971,-0.6027576763348274,-0.4461668459121466,-0.6571543629378852,-0.5465161356753917,0.07867335150518714,24,-0.5472865433742603,-0.5896119922399521,-0.588353750606378,-0.5120888706296682,-0.6431087589388742,-0.5760899831578266,0.044160030745114036,26
5,0.03473773002624512,0.0001665989192060688,0.0011879444122314454,8.327056866814832e-06,0.2,4,150,"{'colsample_bytree': 0.2, 'max_depth': 4, 'n_estimators': 150}",-0.484924159463126,-0.569852195917058,-0.6304465390204675,-0.4530714511571767,-0.673323017658603,-0.5623234726432862,0.08360022813357879,27,-0.5576629700760046,-0.5988837586094936,-0.5941392779350281,-0.512491670747598,-0.653760862912183,-0.5833877080560615,0.046895874044965,27
6,0.016410160064697265,0.0002072868989163609,0.0010855674743652343,6.846225927901288e-06,0.2,5,50,"{'colsample_bytree': 0.2, 'max_depth': 5, 'n_estimators': 50}",-0.44388701959101756,-0.5425513633088567,-0.5846436575084322,-0.4299338857524347,-0.6822730185951885,-0.5366577889511859,0.0933140718925418,23,-0.5208190307021141,-0.5712373008330663,-0.584169111525019,-0.5131097255895535,-0.651623877555288,-0.5681918092410082,0.05000735009254451,22
7,0.030954265594482423,0.00047380157303351125,0.001145172119140625,7.145242129139035e-06,0.2,5,100,"{'colsample_bytree': 0.2, 'max_depth': 5, 'n_estimators': 100}",-0.4453117896385253,-0.5336483287424193,-0.6236459833342499,-0.44928997591807107,-0.68310822804538,-0.5470008611357292,0.09430383296261151,25,-0.5258271520336469,-0.5629873393724362,-0.5924377180635929,-0.5244586020708084,-0.6549815095532003,-0.5721384642187369,0.04853221578219724,24
8,0.04615902900695801,0.0005557605300314398,0.0013669967651367188,0.00016803518189885755,0.2,5,150,"{'colsample_bytree': 0.2, 'max_depth': 5, 'n_estimators': 150}",-0.453378042293302,-0.5445319936006305,-0.6257331007235135,-0.45378648634326707,-0.6945297359228032,-0.5543918717767033,0.09502699241566144,26,-0.528126954411467,-0.5714070629328489,-0.5897549750904242,-0.5238674400995175,-0.6604664825020036,-0.5747245830072523,0.049691810049694286,25
9,0.010292673110961914,0.00019564719830978306,0.0010492801666259766,7.730058337844637e-06,0.5,3,50,"{'colsample_bytree': 0.5, 'max_depth': 3, 'n_estimators': 50}",-0.4302237218698685,-0.4510678684238118,-0.5125301048709199,-0.380330640205456,-0.557095512795124,-0.46624956963303604,0.0621373985994858,1,-0.514097711071372,-0.5506050412853559,-0.5402582635482153,-0.48064346549411613,-0.5712781844962954,-0.5313765331790711,0.03134697524910727,1
