,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.15947575569152833,0.2297658641495963,0.011882495880126954,0.0009053972635360471,4,0.28317799131900695,66,"OrderedDict([('max_depth', 4), ('max_features', 0.28317799131900695), ('n_estimators', 66)])",0.7829514658782951,0.7491649033151009,0.6660545895421857,0.5097501329080276,0.6735911664243757,0.676302451613597,0.09437689730246411,1
1,0.08714451789855956,0.0040587368432486596,0.028022003173828126,0.0014872497562778558,3,0.6767046880272642,144,"OrderedDict([('max_depth', 3), ('max_features', 0.6767046880272642), ('n_estimators', 144)])",0.7583330806370642,0.7037935885163163,0.6523454245429828,0.4847451700323455,0.6361500104755918,0.6470734548408601,0.09175343617182784,7
2,0.05965089797973633,0.002293602627126128,0.015799808502197265,0.0014548805672572529,4,0.7256307627637708,88,"OrderedDict([('max_depth', 4), ('max_features', 0.7256307627637708), ('n_estimators', 88)])",0.7792114695340503,0.6874044785259739,0.6772882308093576,0.4974406728303365,0.6505105405770499,0.6583710784553537,0.09139319515069645,3
3,0.08375711441040039,0.005074015799207949,0.02684359550476074,0.002057144976721733,5,0.5299580881338504,138,"OrderedDict([('max_depth', 5), ('max_features', 0.5299580881338504), ('n_estimators', 138)])",0.8123754006106947,0.7094328998810132,0.6662213840431661,0.49299032636976275,0.6569034150429499,0.6675846851895174,0.10326157329682975,2
4,0.05679278373718262,0.0054341813719490555,0.01573801040649414,0.003971093838652344,3,0.27317949397928276,102,"OrderedDict([('max_depth', 3), ('max_features', 0.27317949397928276), ('n_estimators', 102)])",0.7481980385206192,0.732102866986588,0.6178736517719569,0.5184397163120568,0.6610508873564966,0.6555330321895434,0.08329825438332945,4
5,0.07219276428222657,0.003946880849971291,0.028278923034667967,0.009906077531359844,3,0.3816900977702603,127,"OrderedDict([('max_depth', 3), ('max_features', 0.3816900977702603), ('n_estimators', 127)])",0.7692718634204004,0.6590613223706749,0.6524216524216525,0.5031080031080031,0.6582827171062465,0.6484291116853955,0.0847906516904157,6
6,0.07716808319091797,0.004720768543960436,0.022659873962402342,0.0037416175167026716,4,0.7904918715197171,126,"OrderedDict([('max_depth', 4), ('max_features', 0.7904918715197171), ('n_estimators', 126)])",0.7705419304297285,0.6871105632542696,0.6772882308093576,0.4844958317623895,0.644779362996204,0.6528431838503899,0.09384099820461474,5
