,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.1970363140106201,0.20627617688094335,0.026483821868896484,0.0016236760529395754,4,0.5870194982419233,123,"OrderedDict([('max_depth', 4), ('max_features', 0.5870194982419233), ('n_estimators', 123)])",0.4688995215311004,0.4615384615384615,0.41964285714285715,0.5435897435897435,0.49760765550239233,0.478255647860911,0.041098673746624605,6
1,0.07768869400024414,0.006092366862020986,0.018458986282348634,0.0017647933881627012,4,0.7623421218318884,89,"OrderedDict([('max_depth', 4), ('max_features', 0.7623421218318884), ('n_estimators', 89)])",0.4784688995215311,0.4545454545454545,0.4317180616740088,0.5235602094240838,0.4862385321100917,0.47490623145503397,0.030945443798717016,8
2,0.06095700263977051,0.0027061746224495147,0.01407485008239746,0.0010524966870937807,3,0.7995771484500063,75,"OrderedDict([('max_depth', 3), ('max_features', 0.7995771484500063), ('n_estimators', 75)])",0.45945945945945943,0.44999999999999996,0.4100418410041841,0.5098039215686275,0.4491525423728813,0.45569155288103047,0.031941803931614575,10
3,0.057126522064208984,0.001663400331038679,0.013734149932861327,0.000670257656657722,4,0.4901924672374517,70,"OrderedDict([('max_depth', 4), ('max_features', 0.4901924672374517), ('n_estimators', 70)])",0.4780487804878048,0.4630541871921182,0.41964285714285715,0.5353535353535354,0.4951456310679612,0.47824899824885536,0.0379790113196787,7
4,0.1072108268737793,0.0051688285003123864,0.031451177597045896,0.003917738593056762,3,0.6253072849377778,136,"OrderedDict([('max_depth', 3), ('max_features', 0.6253072849377778), ('n_estimators', 136)])",0.4473684210526316,0.4554455445544554,0.4066390041493776,0.5046728971962617,0.45814977973568277,0.45445512933768184,0.031218772669354793,11
5,0.05879950523376465,0.009129424081155623,0.014853811264038086,0.001695180365634185,4,0.36718162502223395,66,"OrderedDict([('max_depth', 4), ('max_features', 0.36718162502223395), ('n_estimators', 66)])",0.4585365853658536,0.4630541871921182,0.423963133640553,0.5380710659898478,0.5125628140703518,0.47923755725174483,0.040786390135728615,5
6,0.07737250328063965,0.005891082046283112,0.018818044662475587,0.001811757529407418,4,0.711807695817531,106,"OrderedDict([('max_depth', 4), ('max_features', 0.711807695817531), ('n_estimators', 106)])",0.4711538461538462,0.467005076142132,0.41592920353982293,0.538860103626943,0.47272727272727266,0.47313510043800333,0.03907418476170548,9
7,0.07848739624023438,0.0036227802619784822,0.021345758438110353,0.0017490341502102475,3,0.619015289362257,93,"OrderedDict([('max_depth', 3), ('max_features', 0.619015289362257), ('n_estimators', 93)])",0.4377682403433476,0.4509803921568628,0.4066390041493776,0.490566037735849,0.45814977973568277,0.44882069082422393,0.02733430646972103,12
8,0.0973520278930664,0.00582321806048339,0.02616910934448242,0.002582850411477886,4,0.4374066212817996,127,"OrderedDict([('max_depth', 4), ('max_features', 0.4374066212817996), ('n_estimators', 127)])",0.4780487804878048,0.4693877551020407,0.42608695652173917,0.5353535353535354,0.4927536231884058,0.48032613013070513,0.03535302033123631,4
9,0.08366713523864747,0.013642195261103822,0.021273469924926756,0.0020012800347481833,4,0.33275968782365334,101,"OrderedDict([('max_depth', 4), ('max_features', 0.33275968782365334), ('n_estimators', 101)])",0.4761904761904761,0.4824120603015075,0.43103448275862066,0.5595854922279793,0.537313432835821,0.4973071888628809,0.04591064933147433,3
10,0.06826157569885254,0.010975068638650816,0.013093376159667968,0.00044454207897372044,5,0.35298758489017956,77,"OrderedDict([('max_depth', 5), ('max_features', 0.35298758489017956), ('n_estimators', 77)])",0.4623655913978495,0.4766839378238343,0.4549763033175355,0.5524861878453038,0.546448087431694,0.49859202156324345,0.04216499366392448,2
11,0.12636427879333495,0.006682061100150979,0.03594975471496582,0.004315379496831381,5,0.2,150,"OrderedDict([('max_depth', 5), ('max_features', 0.2), ('n_estimators', 150)])",0.48888888888888893,0.48913043478260865,0.4541062801932367,0.5649717514124294,0.5340909090909091,0.5062376528736146,0.03882477238368531,1
