,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.22013487815856933,0.20671757562633525,0.02900538444519043,0.005248014058811001,4,0.909732410100683,149,"{'max_depth': 4, 'max_features': 0.909732410100683, 'n_estimators': 149}",0.4577114427860696,0.46391752577319584,0.4224137931034482,0.5257731958762887,0.46288209606986896,0.46653961072177424,0.03332835034246476,13
1,0.0681680679321289,0.0068319288562518005,0.014914608001708985,0.00195098177984156,5,0.4540886046249594,62,"{'max_depth': 5, 'max_features': 0.4540886046249594, 'n_estimators': 62}",0.4761904761904762,0.4717948717948718,0.42654028436018965,0.5543478260869565,0.5405405405405406,0.49388279979460686,0.04726282564324477,2
2,0.09553656578063965,0.0031684727308749837,0.02332959175109863,0.0026696314455639182,4,0.8419543261466145,122,"{'max_depth': 4, 'max_features': 0.8419543261466145, 'n_estimators': 122}",0.4761904761904761,0.45685279187817257,0.4170212765957447,0.5151515151515151,0.4690265486725664,0.466848521697695,0.03164763517523218,12
3,0.0996938705444336,0.00759548961692261,0.024591827392578126,0.003264864397901877,4,0.9497471910291244,122,"{'max_depth': 4, 'max_features': 0.9497471910291244, 'n_estimators': 122}",0.4666666666666666,0.46391752577319584,0.4188034188034188,0.5257731958762887,0.4774774774774775,0.4705276569194095,0.03415953005709248,11
4,0.07604022026062011,0.0027316055105378423,0.028051376342773438,0.010698893995620986,3,0.4594508778870462,84,"{'max_depth': 3, 'max_features': 0.4594508778870462, 'n_estimators': 84}",0.4629629629629629,0.4444444444444444,0.411522633744856,0.5192307692307693,0.47058823529411764,0.46174980913543007,0.035230370669231716,15
5,0.1196296215057373,0.008887394226920005,0.02808036804199219,0.0032964415352506444,4,0.7892242514506564,143,"{'max_depth': 4, 'max_features': 0.7892242514506564, 'n_estimators': 143}",0.4705882352941176,0.4615384615384615,0.42290748898678415,0.5380710659898478,0.4774774774774775,0.4741165458573377,0.037133546000536415,9
6,0.07839436531066894,0.0022929876689182062,0.019115209579467773,0.001966373213575569,4,0.8053895010663514,89,"{'max_depth': 4, 'max_features': 0.8053895010663514, 'n_estimators': 89}",0.4666666666666666,0.4577114427860696,0.42372881355932196,0.53125,0.4907407407407407,0.47401953275055975,0.035788545801554016,10
7,0.10354089736938477,0.003131117670243785,0.03174986839294434,0.004446051136048453,3,0.4524021560635547,122,"{'max_depth': 3, 'max_features': 0.4524021560635547, 'n_estimators': 122}",0.4587155963302752,0.45933014354066987,0.41493775933609955,0.5094339622641509,0.48214285714285704,0.4649120637228106,0.031132249618721457,14
8,0.058655071258544925,0.002618451039271211,0.012042760848999023,0.000908341644964117,5,0.9028972342982504,57,"{'max_depth': 5, 'max_features': 0.9028972342982504, 'n_estimators': 57}",0.5,0.4673913043478261,0.43396226415094336,0.5402298850574713,0.5025125628140703,0.4888192032740622,0.035844149131215766,4
9,0.07584490776062011,0.0037737064919116116,0.0163729190826416,0.0011851201985898533,5,0.7928353601155447,100,"{'max_depth': 5, 'max_features': 0.7928353601155447, 'n_estimators': 100}",0.46486486486486484,0.4597701149425287,0.43349753694581283,0.5536723163841808,0.523076923076923,0.48697635124286204,0.044363687301599286,5
10,0.07464900016784667,0.0023669069474274306,0.019307851791381836,0.001946168443090677,4,0.5819030378612939,86,"{'max_depth': 4, 'max_features': 0.5819030378612939, 'n_estimators': 86}",0.47342995169082125,0.45999999999999996,0.40178571428571425,0.5473684210526316,0.4927536231884058,0.47506754204351453,0.04720201982261964,8
11,0.06670289039611817,0.009955066845413908,0.015079593658447266,0.001441620192935236,3,0.61280142407509,74,"{'max_depth': 3, 'max_features': 0.61280142407509, 'n_estimators': 74}",0.4377682403433476,0.4554455445544554,0.4135021097046414,0.5046728971962617,0.4711111111111111,0.45649998058196345,0.0307731111789298,16
12,0.08311095237731933,0.0018836504760681965,0.020638322830200194,0.0017772169033302807,5,0.7501355067088322,95,"{'max_depth': 5, 'max_features': 0.7501355067088322, 'n_estimators': 95}",0.4864864864864865,0.4673913043478261,0.42654028436018965,0.5617977528089887,0.5185185185185185,0.49214686930440193,0.045816615704891754,3
13,0.08829145431518555,0.0023957860238601214,0.023041439056396485,0.002825886127484121,5,0.3370609353160072,114,"{'max_depth': 5, 'max_features': 0.3370609353160072, 'n_estimators': 114}",0.4918032786885245,0.4867724867724868,0.45714285714285713,0.5638297872340426,0.5333333333333334,0.5065763486342488,0.03754463765433866,1
14,0.0764704704284668,0.0022622011075610887,0.019585084915161134,0.0030282990423547654,4,0.5623813585343165,84,"{'max_depth': 4, 'max_features': 0.5623813585343165, 'n_estimators': 84}",0.4807692307692308,0.467005076142132,0.4405286343612335,0.5360824742268041,0.5074626865671642,0.4863696204133129,0.032936396934926865,6
15,0.08315753936767578,0.0024824279754733806,0.023169565200805663,0.0022889788561418546,3,0.2179632410173835,92,"{'max_depth': 3, 'max_features': 0.2179632410173835, 'n_estimators': 92}",0.4784688995215311,0.4549763033175356,0.41592920353982293,0.5098039215686275,0.5445544554455445,0.4807465566786123,0.044241069941266954,7
