,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error
0,0.15809426307678223,0.2352460390192612,0.01087174415588379,0.0019000277007876723,3,0.2,50,"{'max_depth': 3, 'max_features': 0.2, 'n_estimators': 50}",-0.4384503171900606,-0.4542313892870749,-0.5329899408909324,-0.3927110123498673,-0.5974398880621037,-0.4831645095560078,0.07288313295225377,25,-0.5697927113758565,-0.5646006172109775,-0.5758781275870363,-0.5249912478300943,-0.6352463933183499,-0.5741018194644629,0.03539068715172152,25
1,0.061581659317016604,0.002806605003212394,0.014920806884765625,0.0015858141877025849,3,0.2,100,"{'max_depth': 3, 'max_features': 0.2, 'n_estimators': 100}",-0.44797868846185246,-0.44910100627712035,-0.5314605908196198,-0.3903059173204752,-0.5991325824307758,-0.4835957570619687,0.07321373905670647,27,-0.5776996267260646,-0.5616368993147013,-0.5752172166669389,-0.5239600517178015,-0.6367645948591881,-0.5750556778569388,0.036347857230148495,26
2,0.09411983489990235,0.0029904213122195285,0.022873449325561523,0.0015778187744632693,3,0.2,150,"{'max_depth': 3, 'max_features': 0.2, 'n_estimators': 150}",-0.44499350514823655,-0.4507807259877439,-0.5312447708248098,-0.3906548644861423,-0.5983067885293154,-0.48319613099524955,0.07298386174753006,26,-0.5761662735508521,-0.5646626267554872,-0.576450810385806,-0.5254136610131795,-0.6363548034864723,-0.5758096350383595,0.03558164052111752,27
3,0.04438424110412598,0.004268518354662387,0.009709024429321289,0.0008840235634203209,3,0.5,50,"{'max_depth': 3, 'max_features': 0.5, 'n_estimators': 50}",-0.4345247883961904,-0.437644276439005,-0.49234173668999653,-0.37174868987514104,-0.5258727302138306,-0.45242644432283274,0.05298201451610151,21,-0.5569730421404757,-0.5604693328043561,-0.5566560722810311,-0.49377244355264577,-0.5845186648999419,-0.5504779111356901,0.030181013500273076,21
4,0.059992218017578126,0.0034627402248497696,0.013888740539550781,0.001545673305183967,3,0.5,100,"{'max_depth': 3, 'max_features': 0.5, 'n_estimators': 100}",-0.43647740024364007,-0.4350239628837442,-0.48569227488619493,-0.37148470190846455,-0.5223107043044262,-0.45019780884529403,0.05113584892839528,20,-0.5567490122452153,-0.5579217946838682,-0.5530808566545221,-0.49457293974660893,-0.5835898730777715,-0.5491828952815971,0.029376507471565803,20
5,0.08794150352478028,0.004824718206336579,0.01948404312133789,0.002593033153275296,3,0.5,150,"{'max_depth': 3, 'max_features': 0.5, 'n_estimators': 150}",-0.43414160551529374,-0.4330508400850685,-0.4812368412442545,-0.372551447556508,-0.5269598218629863,-0.4495881112528222,0.05183579293007467,19,-0.5557335177520494,-0.5568291130761924,-0.5492512630759484,-0.4954172611382424,-0.5867245896182438,-0.5487911489321353,0.02966727111805122,19
6,0.04036211967468262,0.001250145022013657,0.00848846435546875,0.000532167389125993,3,0.8,50,"{'max_depth': 3, 'max_features': 0.8, 'n_estimators': 50}",-0.44300836251096554,-0.4383142476713877,-0.47697336405755086,-0.37664370301219535,-0.5072643987268044,-0.44844081519578083,0.04372917688198993,18,-0.5510130282631731,-0.5598777335188875,-0.5531105345224058,-0.49191875010837727,-0.5725323300402286,-0.5456904752906144,0.02791611986167888,18
7,0.05955862998962402,0.0030144168320685167,0.018466997146606445,0.011114589397884692,3,0.8,100,"{'max_depth': 3, 'max_features': 0.8, 'n_estimators': 100}",-0.4377527069281797,-0.4384797808887095,-0.47613739461092486,-0.3772777529817794,-0.5081855959077027,-0.4475666462634592,0.043841436480763926,16,-0.5497008094212079,-0.5592796776502703,-0.552085358785889,-0.4910449320722643,-0.5737384235110564,-0.5451698402881375,0.028330588502553076,16
8,0.09580340385437011,0.0048801496502586935,0.022177839279174806,0.0016968935808862123,3,0.8,150,"{'max_depth': 3, 'max_features': 0.8, 'n_estimators': 150}",-0.4355158835573227,-0.4390460037488564,-0.4755470281966894,-0.37807714617299437,-0.5132116225914037,-0.4482795368534533,0.0450249630288428,17,-0.5487667641815421,-0.5598641978520962,-0.5506793359574197,-0.49190519724194165,-0.5769107657105123,-0.5456252521887024,0.0286453769175893,17
9,0.038918590545654295,0.0027692504841949437,0.009563016891479491,0.0007455107709703609,4,0.2,50,"{'max_depth': 4, 'max_features': 0.2, 'n_estimators': 50}",-0.4333234195454514,-0.43346244127623706,-0.5125831635166938,-0.37495510778810415,-0.5589163762169418,-0.46264810166868564,0.0650582692917274,24,-0.560753280968502,-0.5568068027967129,-0.5628536302339181,-0.5055409862629268,-0.610658611108979,-0.5593226622742077,0.03331273711612456,24
10,0.06439447402954102,0.006546739385107831,0.013208961486816407,0.0021792632849685174,4,0.2,100,"{'max_depth': 4, 'max_features': 0.2, 'n_estimators': 100}",-0.4284073424637496,-0.43198362731446,-0.5147029087318891,-0.3732343696375346,-0.5567118852539388,-0.4610080266803144,0.06580547719607104,23,-0.5563186653786957,-0.5545994671170503,-0.5671203817341509,-0.5082187239341868,-0.6095154162230406,-0.5591545308774248,0.032320026982082306,23
