,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_micro,split1_test_f1_micro,split2_test_f1_micro,split3_test_f1_micro,split4_test_f1_micro,mean_test_f1_micro,std_test_f1_micro,rank_test_f1_micro
0,0.153212308883667,0.22603150501644445,0.014337396621704102,0.0020588193928379977,3,0.2,50,"{'max_depth': 3, 'max_features': 0.2, 'n_estimators': 50}",0.819672131147541,0.7950819672131147,0.5983606557377049,0.5206611570247934,0.7024793388429752,0.687251049993226,0.11406002354373541,18,0.8151143238511276,0.8097066555970666,0.5980937921727395,0.4902418082242644,0.6354435831180018,0.66972003259264,0.12589946852822148,23,0.76630032936748,0.7417989417989418,0.5772486772486772,0.49646506112023353,0.657903379137499,0.6479432777345663,0.10085619228850155,27,0.7638955193343789,0.7524997191326818,0.5849673202614379,0.4930823680823681,0.6377523186033823,0.6464394490828498,0.10238885923064803,24,0.819672131147541,0.7950819672131149,0.5983606557377049,0.5206611570247934,0.7024793388429752,0.687251049993226,0.11406002354373543,18
1,0.05898327827453613,0.0026433338361257553,0.02306079864501953,0.003171457424832013,3,0.2,100,"{'max_depth': 3, 'max_features': 0.2, 'n_estimators': 100}",0.8114754098360656,0.7868852459016393,0.6475409836065574,0.5702479338842975,0.7272727272727273,0.7086844601002575,0.0893644923137775,12,0.8028447506059447,0.8090695737754561,0.6314176245210729,0.5224780701754387,0.6616809116809117,0.6854981861517648,0.10872684300658178,13,0.7548060764939168,0.7306878306878307,0.6063492063492063,0.526637474913337,0.6754472387866217,0.6587855654461825,0.08352266187577606,19,0.7481980385206192,0.7388278388278389,0.6154295257743533,0.5196696696696698,0.6610508873564966,0.6566351920297955,0.0843994616775786,16,0.8114754098360656,0.7868852459016392,0.6475409836065574,0.5702479338842975,0.7272727272727273,0.7086844601002575,0.08936449231377747,12
2,0.09158825874328613,0.0038438646442771718,0.030246448516845704,0.0037247562358269175,3,0.2,150,"{'max_depth': 3, 'max_features': 0.2, 'n_estimators': 150}",0.819672131147541,0.7786885245901639,0.6885245901639344,0.5867768595041323,0.7272727272727273,0.7201869665356998,0.08021309246444623,3,0.8251633986928105,0.8003318250377074,0.654454337566292,0.535070306038048,0.6616809116809117,0.695340155803154,0.10617753490692153,6,0.7606540297102912,0.7195767195767196,0.6474867724867724,0.5451559934318555,0.6754472387866217,0.6696641507984522,0.07320926724496002,11,0.7550802584948927,0.7250860152333612,0.6494753833736885,0.5363219185979475,0.6610508873564966,0.6654028926112774,0.07554949163326986,11,0.819672131147541,0.7786885245901639,0.6885245901639344,0.5867768595041323,0.7272727272727273,0.7201869665356998,0.08021309246444623,3
3,0.04132719039916992,0.0038345669440363857,0.014837169647216797,0.0014695180399298218,3,0.5,50,"{'max_depth': 3, 'max_features': 0.5, 'n_estimators': 50}",0.819672131147541,0.7786885245901639,0.7377049180327869,0.5619834710743802,0.6859504132231405,0.7167998916136026,0.08918490351350196,7,0.8137774061687105,0.8427609427609427,0.6987360494823182,0.5040628527430797,0.6078658183921343,0.6934406139094371,0.12648519903110397,7,0.7606540297102912,0.7092592592592593,0.687962962962963,0.5217569786535304,0.6349148733903726,0.6629096207952834,0.08128677958871158,16,0.7567529935950988,0.7107788488862657,0.6828200987489327,0.50544007450997,0.6167417417417418,0.6545067514964018,0.08725773174928267,19,0.819672131147541,0.7786885245901639,0.7377049180327869,0.5619834710743802,0.6859504132231405,0.7167998916136026,0.08918490351350196,7
4,0.05715708732604981,0.004168257718202721,0.022430992126464842,0.0017252882864160434,3,0.5,100,"{'max_depth': 3, 'max_features': 0.5, 'n_estimators': 100}",0.819672131147541,0.7622950819672131,0.7131147540983607,0.5702479338842975,0.71900826446281,0.7168676331120445,0.08264190284707339,6,0.8137774061687105,0.8713642448582207,0.6751513083911401,0.5161806324597022,0.6604015292539883,0.7073750242263525,0.12491125161619475,2,0.7606540297102912,0.687037037037037,0.6752645502645502,0.5277093596059114,0.6752455852274363,0.6651821123690451,0.07575514705314657,14,0.7567529935950988,0.679213151218156,0.6722608945799803,0.5108885901886646,0.6638509696136815,0.6565933198391163,0.08008948949711574,17,0.819672131147541,0.7622950819672131,0.7131147540983606,0.5702479338842975,0.7190082644628101,0.7168676331120445,0.08264190284707339,6
5,0.09172453880310058,0.00433026228119046,0.03327507972717285,0.009958148585748932,3,0.5,150,"{'max_depth': 3, 'max_features': 0.5, 'n_estimators': 150}",0.819672131147541,0.7786885245901639,0.7295081967213115,0.5702479338842975,0.7107438016528925,0.7217721175992413,0.08481148384598523,2,0.8137774061687105,0.8769173213617658,0.6918101136851137,0.5303082585691281,0.6532634032634034,0.7132153006096243,0.12199875960312076,1,0.7606540297102912,0.7092592592592593,0.6871693121693122,0.5277093596059114,0.6693976320110622,0.6708379185511673,0.07784305553372038,10,0.7567529935950988,0.7123738681306038,0.6840675082818515,0.5080959212953474,0.6582827171062465,0.6639146016818296,0.08448027751313517,12,0.819672131147541,0.7786885245901639,0.7295081967213115,0.5702479338842975,0.7107438016528925,0.7217721175992413,0.08481148384598523,2
6,0.04110298156738281,0.0029910333087997207,0.014899444580078126,0.001304348492846315,3,0.8,50,"{'max_depth': 3, 'max_features': 0.8, 'n_estimators': 50}",0.819672131147541,0.7459016393442623,0.7131147540983607,0.5206611570247934,0.71900826446281,0.7036715892155535,0.09905221665735758,13,0.8313492063492064,0.8117926250456371,0.6778986778986779,0.46231884057971023,0.6604015292539883,0.688752175825444,0.1324133514017937,11,0.7606540297102912,0.669973544973545,0.6752645502645502,0.48645320197044334,0.6752455852274363,0.6535181824292533,0.0901161039672433,23,0.7583330806370642,0.655898469630093,0.672543411463637,0.4640263017050233,0.6638509696136815,0.6429304466098997,0.09675456226533752,25,0.819672131147541,0.7459016393442623,0.7131147540983606,0.5206611570247934,0.7190082644628101,0.7036715892155535,0.09905221665735758,13
7,0.05512537956237793,0.004140119745061534,0.017395162582397462,0.0029006526889950933,3,0.8,100,"{'max_depth': 3, 'max_features': 0.8, 'n_estimators': 100}",0.8114754098360656,0.7459016393442623,0.7295081967213115,0.5371900826446281,0.7272727272727273,0.7102696111637989,0.09179107521020834,11,0.822609901835254,0.7867275553828216,0.6916699308003657,0.4688529314888011,0.6591657099119786,0.6858052058838442,0.12386540483275789,12,0.7491597768367279,0.6685185185185185,0.6768518518518518,0.492816091954023,0.6698009391294327,0.6514294356581108,0.08483544132709447,26,0.7434758771929825,0.6624055037195695,0.669512805241215,0.4639566395663957,0.651647248421442,0.6381996148283211,0.09294190190189289,27,0.8114754098360656,0.7459016393442623,0.7295081967213115,0.5371900826446281,0.7272727272727273,0.7102696111637989,0.09179107521020834,11
8,0.09039630889892578,0.003065298189008749,0.02879185676574707,0.0024319181783330865,3,0.8,150,"{'max_depth': 3, 'max_features': 0.8, 'n_estimators': 150}",0.819672131147541,0.7540983606557377,0.6967213114754098,0.5619834710743802,0.71900826446281,0.7102967077631758,0.08501595946437017,10,0.8313492063492064,0.7617484657332855,0.6555670577409708,0.5097069002812027,0.6181623931623932,0.6753068046534118,0.11216047574626845,19,0.7606540297102912,0.7002645502645503,0.65489417989418,0.5106732348111659,0.6470140869414917,0.6547000163243358,0.08258959342289132,22,0.7583330806370642,0.711252249391341,0.6523454245429828,0.4795283087966015,0.6121452400522168,0.6427208606840412,0.09562640476212411,26,0.819672131147541,0.7540983606557377,0.6967213114754098,0.5619834710743802,0.7190082644628101,0.7102967077631758,0.08501595946437017,10
9,0.03984127044677734,0.004229914232529483,0.016210031509399415,0.0039607780833061535,4,0.2,50,"{'max_depth': 4, 'max_features': 0.2, 'n_estimators': 50}",0.819672131147541,0.7540983606557377,0.639344262295082,0.5371900826446281,0.71900826446281,0.6938626202411597,0.0975778830178134,16,0.7943143812709029,0.7424939045628701,0.6555860805860806,0.5086599000694584,0.6696969696969696,0.6741502472372563,0.09681093902521434,20,0.7888855279962358,0.7293650793650794,0.6125661375661375,0.5149835796387521,0.6902140408492495,0.6672028730830908,0.09524306631263144,13,0.7883190883190885,0.7350138490076995,0.6246927803379415,0.5115818012369737,0.6735911664243757,0.6666397370652157,0.0952173479126751,10,0.819672131147541,0.7540983606557377,0.639344262295082,0.5371900826446281,0.7190082644628101,0.6938626202411597,0.0975778830178134,16
