,Tuner,Max Depth,Max Features,N Estimators,Accuracy,Precision,Recall,F1,Micro F1,Target,Energy (J),Runtime (ms),Power (W)
0,grid,5,0.2,100,0.6600985221674877,0.6423646290667567,0.7205449164466069,0.6568562339462201,0.6600985221674877,f1_macro,279.98,12900242111.0,2.1703468631899696e-11
1,bayes,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro,1026.84,24269128799.0,4.231054227386648e-11
