,Tuner,Colsample By Tree,Max Depth,N Estimators,MSE,MAE,Target,Energy (J),Runtime (ms),Power (W)
0,grid,0.5,3,50,0.45659098045163,0.5184815771877765,MSE,161.34,3856230577.0,4.183878447577591e-11
1,bayes,0.5741221085311612,3,50,0.4854616436718593,0.5367099165916442,MSE,814.68,15255180258.0,5.340349876054542e-11
