,Tuner,Colsample By Tree,Max Depth,N Estimators,Accuracy,Precision,Recall,F1,Micro F1,Target,Energy (J),Runtime (ms),Power (W)
0,grid,0.8,3,100,0.8982300884955752,0.7368549767669357,0.6471362738643844,0.6772831688085925,0.8982300884955752,f1,340.08,6463555737.0,5.261500230488381e-11
1,bayes,0.3658363460591757,3,83,0.8971238938053098,0.7321331862400963,0.6465159264698435,0.6756569074137658,0.8971238938053098,f1,961.73,17731225779.0,5.423934092244351e-11
