,Tuner,Max Depth,Max Features,N Estimators,MSE,MAE,Target,Energy (J),Runtime (ms),Power (W)
0,grid,5,0.5,50,0.4074080492729685,0.5100327657473291,MSE,285.75,11545939930.0,2.4748959524510537e-11
1,bayes,5,0.4777960430938348,50,0.4074080492729687,0.5100327657473291,MSE,2507.2,50163503181.0,4.9980560387768744e-11
