,Tuner,Max Depth,Max Features,N Estimators,Accuracy,Precision,Recall,F1,Micro F1,Target,Energy (J),Runtime (ms),Power (W)
0,grid,5,0.2,150,0.8484513274336283,0.6835251095951771,0.8164151516686079,0.7178803210088589,0.8484513274336283,f1,492.35,16526254135.0,2.979199012541386e-11
1,bayes,5,0.2007146600458575,52,0.8418141592920354,0.6722943722943723,0.7947662936142199,0.7038625331308259,0.8418141592920354,f1,1249.46,27299626723.0,4.5768391365854355e-11
