,Num,Max Depth,N_estimators,Colsample By Tree,Learning Rate,Accuracy,Precision,Recall,F1 Score,Micro F1,Energy (J),Runtime (ms),Power (W)
64,64,5,100,0.01,0.2,0.8926991150442478,0.9462901439645626,0.5051020408163265,0.4817218409962705,0.8926991150442478,19.67,594874540.0,3.306579568861697e-11
65,65,5,100,0.001,0.2,0.8915929203539823,0.4457964601769911,0.5,0.471345029239766,0.8915929203539823,19.2,580255928.0,3.308884765068699e-11
66,66,5,100,0.1,0.5,0.9048672566371682,0.7673202614379085,0.6553400516534157,0.6911390795830155,0.9048672566371682,24.34,668835168.0,3.6391627062289885e-11
67,67,5,100,0.01,0.5,0.9015486725663716,0.8209634255129349,0.5683268344558667,0.5933423301844355,0.9015486725663716,23.8,635803208.0,3.7432966207996866e-11
68,68,5,100,0.001,0.5,0.9004424778761062,0.8265765765765766,0.5587431002177545,0.5786988131485739,0.9004424778761062,19.89,573689255.0,3.467033734142363e-11
69,69,5,100,0.1,0.8,0.9059734513274336,0.7698274612150211,0.6649237858915278,0.7000956228167751,0.9059734513274338,20.92,597317511.0,3.502324913424479e-11
70,70,5,100,0.01,0.8,0.9037610619469026,0.7854183790892652,0.6099027700410189,0.6469621815733364,0.9037610619469026,23.8,658674775.0,3.613315843164026e-11
71,71,5,100,0.001,0.8,0.9015486725663716,0.7824433497536946,0.5907353015647947,0.6231339613184879,0.9015486725663716,20.82,571644040.0,3.64212666329907e-11
72,72,5,150,0.1,0.2,0.9015486725663716,0.7625837266483905,0.6176254620955082,0.653193442849076,0.9015486725663716,20.27,599452494.0,3.381418911904635e-11
73,73,5,150,0.01,0.2,0.8949115044247787,0.9472807991120976,0.5153061224489796,0.5018763739291328,0.8949115044247787,22.65,641556867.0,3.530474251786007e-11
74,74,5,150,0.001,0.2,0.8915929203539823,0.4457964601769911,0.5,0.471345029239766,0.8915929203539823,21.1,614818629.0,3.4319064199988646e-11
75,75,5,150,0.1,0.5,0.9004424778761062,0.7454186413902053,0.6573403554970375,0.6879171461449942,0.9004424778761062,21.68,602299413.0,3.599538623491901e-11
76,76,5,150,0.01,0.5,0.9026548672566372,0.8171511028653886,0.5779105686939788,0.6072669826224328,0.9026548672566372,21.67,607660776.0,3.566134405226116e-11
77,77,5,150,0.001,0.5,0.9015486725663716,0.8516310461192351,0.5593634476122955,0.5799410029498525,0.9015486725663716,20.71,601454499.0,3.4433194920701723e-11
78,78,5,150,0.1,0.8,0.9103982300884956,0.7885519584084177,0.6763685623132627,0.7142087699783384,0.9103982300884956,23.52,659634946.0,3.5656085449420686e-11
79,79,5,150,0.01,0.8,0.9059734513274336,0.7881327191023938,0.6290702385172431,0.6687802544064209,0.9059734513274338,24.26,657704496.0,3.688586614131949e-11
80,80,5,150,0.001,0.8,0.9037610619469026,0.7946088755865942,0.6009393831974477,0.6368824189370749,0.9037610619469026,23.14,631603883.0,3.663688685713796e-11
