Tuner,N_iter,Colsample By Tree,Max Depth,N Estimators,Accuracy,Precision,Recall,F1,Micro F1,Target
bayes,5,0.6572510211029745,5,143,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,5,0.7534009005856734,4,107,0.8078817733990148,0.7703243497735023,0.7907942250778007,0.7798488053182991,0.8078817733990148,f1_macro
bayes,5,0.4579066662795331,4,100,0.7980295566502463,0.7564045581935134,0.7828166261202254,0.7683394912199141,0.7980295566502463,f1_macro
bayes,5,0.602940808244774,5,100,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro
random,6,0.8053533615855473,5,75,0.8078817733990148,0.7703192322757539,0.7862578753664775,0.7777576174527933,0.8078817733990148,f1_macro
random,6,0.5584594232886104,5,111,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro
random,6,0.6660727855297568,5,112,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro
random,6,0.5435211936166857,5,90,0.8177339901477833,0.7779464890137352,0.8007506289896659,0.7883656310573723,0.8177339901477833,f1_macro
random,6,0.797129694947011,4,140,0.8177339901477833,0.7803433868651259,0.7962142792783427,0.7877474784893531,0.8177339901477833,f1_macro
bayes,6,0.6317223526369742,5,138,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,6,0.6263023004105284,5,144,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,6,0.6639666055252014,5,119,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,6,0.624384681947701,5,126,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,6,0.7208078070843043,5,125,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro
random,7,0.5890710633468293,5,129,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,7,0.4910755017173573,5,73,0.812807881773399,0.770857965198906,0.804555756555008,0.7854900905748363,0.812807881773399,f1_macro
random,7,0.7024821263990957,5,108,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro
random,7,0.6856127144930684,4,114,0.8275862068965517,0.7898629561765155,0.8107070329015311,0.7995657059392345,0.8275862068965517,f1_macro
random,7,0.9434219113396476,5,59,0.8226600985221675,0.7870380974194533,0.8079970058012601,0.796799454210327,0.8226600985221676,f1_macro
bayes,7,0.7173760961718989,5,89,0.812807881773399,0.7754945027672301,0.7889679024667484,0.7816981756025857,0.812807881773399,f1_macro
bayes,7,0.7484187402963698,4,140,0.8177339901477833,0.7803433868651259,0.7962142792783427,0.7877474784893531,0.8177339901477833,f1_macro
bayes,7,0.3480525056213642,4,107,0.7980295566502463,0.7565182186234818,0.7899105205885819,0.7711692965724525,0.7980295566502463,f1_macro
bayes,7,0.7296232252257746,4,119,0.8226600985221675,0.7848963563249277,0.8079970058012601,0.7955460835186557,0.8226600985221676,f1_macro
bayes,7,0.4218857492024005,4,107,0.7980295566502463,0.7565182186234818,0.7899105205885819,0.7711692965724525,0.7980295566502463,f1_macro
random,8,0.923344523629301,4,89,0.812807881773399,0.772936689549962,0.8025769516007181,0.7862005913476501,0.812807881773399,f1_macro
random,8,0.908296942697048,4,78,0.8078817733990148,0.7700381388253241,0.799866924500447,0.7833994708994708,0.8078817733990148,f1_macro
random,8,0.9787943531370955,5,132,0.8226600985221675,0.7856567311112767,0.7989243063786137,0.7917564233657514,0.8226600985221676,f1_macro
random,8,0.3398667851298657,4,100,0.7980295566502463,0.7564045581935134,0.7828166261202254,0.7683394912199141,0.7980295566502463,f1_macro
random,8,0.8913955630539985,5,67,0.8226600985221675,0.7870380974194533,0.8079970058012601,0.796799454210327,0.8226600985221676,f1_macro
bayes,8,0.734095309230844,4,134,0.8177339901477833,0.7803433868651259,0.7962142792783427,0.7877474784893531,0.8177339901477833,f1_macro
bayes,8,0.5203343154800241,5,63,0.812807881773399,0.7729044834307991,0.798040601889395,0.7843577620173364,0.812807881773399,f1_macro
bayes,8,0.6672844015564912,5,148,0.812807881773399,0.771610524551701,0.7935042521780716,0.7812026081017364,0.812807881773399,f1_macro
bayes,8,0.5902704004108257,5,87,0.8177339901477833,0.7779464890137352,0.8007506289896659,0.7883656310573723,0.8177339901477833,f1_macro
bayes,8,0.6664587561986335,5,106,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,9,0.7672498169760613,4,110,0.8226600985221675,0.7848963563249277,0.8079970058012601,0.7955460835186557,0.8226600985221676,f1_macro
random,9,0.603247594870719,5,139,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,9,0.7598162669734339,4,115,0.8275862068965517,0.7898629561765155,0.8107070329015311,0.7995657059392345,0.8275862068965517,f1_macro
random,9,0.519654735285681,5,117,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,9,0.5614059936758973,5,57,0.8029556650246306,0.7612024966062233,0.7926205476888528,0.7751158718714595,0.8029556650246306,f1_macro
bayes,9,0.6156543350620778,5,120,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,9,0.7795182431486722,4,147,0.8177339901477833,0.7803433868651259,0.7962142792783427,0.7877474784893531,0.8177339901477833,f1_macro
bayes,9,0.4659986775235408,4,108,0.7980295566502463,0.7565182186234818,0.7899105205885819,0.7711692965724525,0.7980295566502463,f1_macro
bayes,9,0.6514214876554492,3,129,0.7931034482758621,0.7555002037112485,0.7826641437769877,0.7677918063405841,0.7931034482758621,f1_macro
bayes,9,0.6046436687930891,5,60,0.8078817733990148,0.766062481579723,0.7953305747891238,0.7790987659891537,0.8078817733990148,f1_macro
random,10,0.5092879910182664,5,63,0.812807881773399,0.7729044834307991,0.798040601889395,0.7843577620173364,0.812807881773399,f1_macro
random,10,0.7208525788371736,4,132,0.8177339901477833,0.7803433868651259,0.7962142792783427,0.7877474784893531,0.8177339901477833,f1_macro
random,10,0.5844030235157338,5,99,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro
random,10,0.7875878375047076,5,81,0.812807881773399,0.7754945027672301,0.7889679024667484,0.7816981756025857,0.812807881773399,f1_macro
random,10,0.6553470799173753,5,145,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,10,0.658651531524887,3,125,0.7832512315270936,0.7420247046186895,0.7772440895764458,0.7572861335686119,0.7832512315270936,f1_macro
bayes,10,0.5414208766788544,5,83,0.8177339901477833,0.7779464890137352,0.8007506289896659,0.7883656310573723,0.8177339901477833,f1_macro
bayes,10,0.38112960778680616,4,107,0.7980295566502463,0.7565182186234818,0.7899105205885819,0.7711692965724525,0.7980295566502463,f1_macro
bayes,10,0.5543614567443396,5,134,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,10,0.765450147750576,4,134,0.8177339901477833,0.7803433868651259,0.7962142792783427,0.7877474784893531,0.8177339901477833,f1_macro
random,11,0.9726681151601619,3,90,0.7881773399014779,0.7523839629102786,0.789026816099363,0.7677207977207976,0.7881773399014778,f1_macro
random,11,0.6642266947643326,5,147,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,11,0.34086766462625573,4,106,0.8029556650246306,0.7612024966062233,0.7926205476888528,0.7751158718714595,0.8029556650246306,f1_macro
random,11,0.8822519958838229,5,137,0.8226600985221675,0.7856567311112767,0.7989243063786137,0.7917564233657514,0.8226600985221676,f1_macro
random,11,0.9613939097026727,5,51,0.8177339901477833,0.7820473534759249,0.805286978700989,0.792768305740878,0.8177339901477833,f1_macro
bayes,11,0.6814531423206878,4,81,0.8029556650246306,0.7629467840647965,0.7951780924458861,0.7772307481031345,0.8029556650246306,f1_macro
bayes,11,0.4916933446273582,4,102,0.7980295566502463,0.7565182186234818,0.7899105205885819,0.7711692965724525,0.7980295566502463,f1_macro
bayes,11,0.5318292066950474,5,120,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,11,0.6180499426227579,5,62,0.8078817733990148,0.766062481579723,0.7953305747891238,0.7790987659891537,0.8078817733990148,f1_macro
bayes,11,0.6165909586264946,5,73,0.812807881773399,0.7729044834307991,0.798040601889395,0.7843577620173364,0.812807881773399,f1_macro
random,12,0.6592870415717791,5,133,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,12,0.9685935403367596,3,94,0.7783251231527094,0.7421894593529433,0.7745340624761746,0.7562390304521055,0.7783251231527094,f1_macro
random,12,0.6008759252627345,5,120,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,12,0.5967712337001565,5,140,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,12,0.6175748309058879,5,134,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,12,0.7369182362304336,4,71,0.8078817733990148,0.7710453368348106,0.799866924500447,0.783710096625564,0.8078817733990148,f1_macro
bayes,12,0.6064971280135172,3,107,0.7733990147783252,0.7413097621430955,0.7718240353759036,0.7541444411147737,0.7733990147783253,f1_macro
bayes,12,0.8,5,120,0.8177339901477833,0.7803433868651259,0.7962142792783427,0.7877474784893531,0.8177339901477833,f1_macro
bayes,12,0.47245167123208354,4,108,0.7980295566502463,0.7565182186234818,0.7899105205885819,0.7711692965724525,0.7980295566502463,f1_macro
bayes,12,0.5389141471349874,5,101,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro
random,13,0.6543713044789954,5,120,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,13,0.5858112119597874,5,59,0.8029556650246306,0.7612024966062233,0.7926205476888528,0.7751158718714595,0.8029556650246306,f1_macro
random,13,0.9589160138976831,5,123,0.8226600985221675,0.7856567311112767,0.7989243063786137,0.7917564233657514,0.8226600985221676,f1_macro
random,13,0.5277771386890986,5,120,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,13,0.7660890074973583,5,86,0.812807881773399,0.7754945027672301,0.7889679024667484,0.7816981756025857,0.812807881773399,f1_macro
bayes,13,0.5750556367391442,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,13,0.7986642471116001,5,104,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro
bayes,13,0.6691585482053626,4,109,0.8177339901477833,0.780111835973905,0.805286978700989,0.7915647651599976,0.8177339901477833,f1_macro
bayes,13,0.3461959593231274,4,92,0.7832512315270936,0.7387020648967552,0.7746865448194123,0.7541354914236269,0.7832512315270936,f1_macro
bayes,13,0.7679364742636685,4,64,0.7931034482758621,0.7566292635346343,0.7826641437769877,0.7682720539936607,0.7931034482758621,f1_macro
random,14,0.5599352575781518,5,67,0.812807881773399,0.7729044834307991,0.798040601889395,0.7843577620173364,0.812807881773399,f1_macro
random,14,0.6249139624080027,5,118,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,14,0.46847359611126915,4,118,0.7931034482758621,0.7517009916094585,0.7801065990199545,0.7643946467475878,0.7931034482758621,f1_macro
random,14,0.7262034134816941,5,109,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro
random,14,0.900478723282278,5,105,0.8275862068965517,0.7898629561765155,0.8107070329015311,0.7995657059392345,0.8275862068965517,f1_macro
bayes,14,0.534877108464666,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,14,0.7009303653739056,4,61,0.7783251231527094,0.7410211850380669,0.7745340624761746,0.7552869116698903,0.7783251231527094,f1_macro
bayes,14,0.3439485209940377,4,105,0.8029556650246306,0.7612024966062233,0.7926205476888528,0.7751158718714595,0.8029556650246306,f1_macro
bayes,14,0.7947054744564932,4,64,0.7931034482758621,0.7566292635346343,0.7826641437769877,0.7682720539936607,0.7931034482758621,f1_macro
bayes,14,0.8,4,147,0.8177339901477833,0.7803433868651259,0.7962142792783427,0.7877474784893531,0.8177339901477833,f1_macro
random,15,0.56747942711116,5,126,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,15,0.5511153593093001,5,105,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,15,0.9419727574949139,4,78,0.8078817733990148,0.7700381388253241,0.799866924500447,0.7833994708994708,0.8078817733990148,f1_macro
random,15,0.650693504488051,5,120,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,15,0.5467157425475331,5,99,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro
bayes,15,0.6385407335212044,5,110,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,15,0.7885252631650308,4,149,0.8177339901477833,0.7803433868651259,0.7962142792783427,0.7877474784893531,0.8177339901477833,f1_macro
bayes,15,0.589811610450437,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,15,0.7072139857646678,4,71,0.8078817733990148,0.7710453368348106,0.799866924500447,0.783710096625564,0.8078817733990148,f1_macro
bayes,15,0.5712507558884429,5,90,0.8177339901477833,0.7779464890137352,0.8007506289896659,0.7883656310573723,0.8177339901477833,f1_macro
random,16,0.8737055153991979,3,89,0.7684729064039408,0.7309301290609702,0.778186707698279,0.7494113038870073,0.7684729064039408,f1_macro
random,16,0.5852912831814827,5,118,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,16,0.5564045855821029,5,67,0.812807881773399,0.7729044834307991,0.798040601889395,0.7843577620173364,0.812807881773399,f1_macro
random,16,0.6824059070621094,5,111,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro
random,16,0.7606709584032496,4,141,0.8177339901477833,0.7803433868651259,0.7962142792783427,0.7877474784893531,0.8177339901477833,f1_macro
bayes,16,0.5357715661180344,5,119,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,16,0.6081094394186882,5,127,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,16,0.6598276256879766,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,16,0.5929813688404117,5,149,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,16,0.7022183903516237,5,94,0.8078817733990148,0.7682748538011696,0.7862578753664775,0.7763645819201375,0.8078817733990148,f1_macro
random,17,0.6567826336357199,5,139,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,17,0.6346936872203461,5,134,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,17,0.6637694516784057,5,114,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro
random,17,0.5197117193062196,5,97,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro
random,17,0.7700716372006646,5,94,0.8078817733990148,0.7682748538011696,0.7862578753664775,0.7763645819201375,0.8078817733990148,f1_macro
bayes,17,0.6601736299140455,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,17,0.6851136447861851,4,66,0.8078817733990148,0.7710453368348106,0.799866924500447,0.783710096625564,0.8078817733990148,f1_macro
bayes,17,0.5684766526701099,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,17,0.7506189204839526,5,120,0.8177339901477833,0.7803433868651259,0.7962142792783427,0.7877474784893531,0.8177339901477833,f1_macro
bayes,17,0.6351565238231236,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,18,0.6170969745699313,5,118,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,18,0.5010043946126306,5,101,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro
random,18,0.7234087652663732,4,73,0.8078817733990148,0.7710453368348106,0.799866924500447,0.783710096625564,0.8078817733990148,f1_macro
random,18,0.5419908109356679,5,111,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro
random,18,0.5488244701647368,5,134,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,18,0.4002612380077708,4,89,0.7832512315270936,0.7387020648967552,0.7746865448194123,0.7541354914236269,0.7832512315270936,f1_macro
bayes,18,0.5551481991661106,5,147,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,18,0.5478656201635941,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,18,0.555601378175862,5,123,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,18,0.6564079392394817,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,19,0.6339972346053266,5,84,0.8177339901477833,0.7779464890137352,0.8007506289896659,0.7883656310573723,0.8177339901477833,f1_macro
random,19,0.8643633130210198,5,123,0.8226600985221675,0.7856567311112767,0.7989243063786137,0.7917564233657514,0.8226600985221676,f1_macro
random,19,0.5147154425512237,5,112,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro
random,19,0.625955806354821,5,136,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,19,0.9062199622444009,5,64,0.8226600985221675,0.7870380974194533,0.8079970058012601,0.796799454210327,0.8226600985221676,f1_macro
bayes,19,0.5643924023889499,5,148,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,19,0.5793804803729172,5,138,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,19,0.3703935064869719,4,98,0.7881773399014779,0.7434180689819788,0.7773965719196833,0.7581076079410521,0.7881773399014778,f1_macro
bayes,19,0.5782530098669602,5,59,0.8029556650246306,0.7612024966062233,0.7926205476888528,0.7751158718714595,0.8029556650246306,f1_macro
bayes,19,0.6133568126059208,5,145,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,20,0.9630656294095685,5,60,0.8226600985221675,0.7870380974194533,0.8079970058012601,0.796799454210327,0.8226600985221676,f1_macro
random,20,0.5031755219640417,5,108,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,20,0.7963240906617488,4,109,0.8177339901477833,0.780111835973905,0.805286978700989,0.7915647651599976,0.8177339901477833,f1_macro
random,20,0.9836498966041416,5,60,0.8226600985221675,0.7870380974194533,0.8079970058012601,0.796799454210327,0.8226600985221676,f1_macro
random,20,0.9785157642219775,5,130,0.8226600985221675,0.7829586535468889,0.8060182008469701,0.7930898491296997,0.8226600985221676,f1_macro
bayes,20,0.3846739623822294,4,108,0.7980295566502463,0.7565182186234818,0.7899105205885819,0.7711692965724525,0.7980295566502463,f1_macro
bayes,20,0.3845278253433949,4,89,0.7832512315270936,0.7387020648967552,0.7746865448194123,0.7541354914236269,0.7832512315270936,f1_macro
bayes,20,0.5101937308817325,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,20,0.7989838193900669,5,86,0.812807881773399,0.7754945027672301,0.7889679024667484,0.7816981756025857,0.812807881773399,f1_macro
bayes,20,0.494199315026478,4,94,0.7832512315270936,0.7387020648967552,0.7746865448194123,0.7541354914236269,0.7832512315270936,f1_macro
random,21,0.6606510699065097,5,133,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,21,0.5557699802075948,5,126,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
