model,exp_num,max_depth,learning_rate,gamma,n_estimators,mse,mae
xgb,0,3,0.1,0,50,0.41358640907766697,0.4969958994537592
xgb,1,4,0.1,0,50,0.42476544830590796,0.5043836265802384
