Num,Max Depth,n_estimators,Learning Rate,Accuracy,Precision,Recall,F1 Score,Micro F1
0,3,50,0.1,0.5024630541871922,0.5690180442473163,0.6363815939949681,0.5272886783348686,0.5024630541871922
1,3,50,0.01,0.5172413793103449,0.6229475933423302,0.6666146840496537,0.5403596592076122,0.5172413793103449
2,3,50,0.001,0.5172413793103449,0.6229475933423302,0.6666146840496537,0.5403596592076122,0.5172413793103449
3,3,100,0.1,0.6354679802955665,0.63356774496015,0.7024584312339286,0.6387423653757781,0.6354679802955665
4,3,100,0.01,0.5123152709359606,0.6353813900983712,0.6780924458860956,0.5350270043521577,0.5123152709359606
5,3,100,0.001,0.5172413793103449,0.6229475933423302,0.6666146840496537,0.5403596592076122,0.5172413793103449
6,3,150,0.1,0.7241379310344828,0.6910125968992249,0.7557752687501299,0.7102532171025322,0.7241379310344829
7,3,150,0.01,0.5221674876847291,0.6374624008750343,0.6835125000866377,0.5438145905949979,0.5221674876847291
8,3,150,0.001,0.5172413793103449,0.6229475933423302,0.6666146840496537,0.5403596592076122,0.5172413793103449
9,4,50,0.1,0.5221674876847291,0.5779138032190198,0.647221702396052,0.5432950191570881,0.5221674876847291
10,4,50,0.01,0.5369458128078818,0.6407232704402516,0.6916425813874506,0.5567873085759713,0.5369458128078818
11,4,50,0.001,0.5221674876847291,0.6309523809523809,0.6835125000866377,0.5397093295827472,0.5221674876847291
12,4,100,0.1,0.7684729064039408,0.7347303443794672,0.7736503579869559,0.7498085337891163,0.7684729064039408
13,4,100,0.01,0.5172413793103449,0.638888888888889,0.6808024729863668,0.5409590156907754,0.5172413793103449
14,4,100,0.001,0.5270935960591133,0.6340909090909091,0.6862225271869087,0.5453870505193085,0.5270935960591133
15,4,150,0.1,0.7931034482758621,0.7587871272081799,0.7872004934883109,0.7712814964935281,0.7931034482758621
16,4,150,0.01,0.5024630541871922,0.5981379731379731,0.6545269928402608,0.5291766761037032,0.5024630541871922
17,4,150,0.001,0.5270935960591133,0.6340909090909091,0.6862225271869087,0.5453870505193085,0.5270935960591133
18,5,50,0.1,0.6945812807881774,0.6576998565897734,0.7213697073032111,0.6748559027043785,0.6945812807881774
19,5,50,0.01,0.6354679802955665,0.6407687894434883,0.7115311306565751,0.6327937770280222,0.6354679802955665
20,5,50,0.001,0.625615763546798,0.6328890221519563,0.7061110764560331,0.6229960631519136,0.625615763546798
21,5,100,0.1,0.7881773399014779,0.7450343249427918,0.7728602222083601,0.7574502023031435,0.7881773399014778
22,5,100,0.01,0.5911330049261084,0.623112378237111,0.6871408867541361,0.5990338164251208,0.5911330049261084
23,5,100,0.001,0.6305418719211823,0.6367635931620771,0.708821103556304,0.6278765769873842,0.6305418719211823
24,5,150,0.1,0.812807881773399,0.7775343659120898,0.7954830571323616,0.7859357938414501,0.812807881773399
25,5,150,0.01,0.5172413793103449,0.5788235294117647,0.6374177808274246,0.5401263332297814,0.5172413793103449
26,5,150,0.001,0.6305418719211823,0.6367635931620771,0.708821103556304,0.6278765769873842,0.6305418719211823
