Num,Max Depth,n_estimators,Max Features,Accuracy,Precision,Recall,F1 Score,Micro F1
0,3,50,0.25,0.5665024630541872,0.6178446306169079,0.7079027439890767,0.5848392321036493,0.5665024630541872
1,3,50,0.5,0.541871921182266,0.619377276698149,0.6943526084877217,0.5602792632204396,0.541871921182266
2,3,50,1,0.5665024630541872,0.6178446306169079,0.7079027439890767,0.5848392321036493,0.5665024630541872
3,3,100,0.25,0.5566502463054187,0.6183851609383525,0.7024826897885347,0.5761787505699955,0.5566502463054187
4,3,100,0.5,0.5369458128078818,0.6175850647395363,0.6916425813874506,0.5559866962305987,0.5369458128078818
5,3,100,1,0.5566502463054187,0.6183851609383525,0.7024826897885347,0.5761787505699955,0.5566502463054187
6,3,150,0.25,0.5714285714285714,0.6087002901519031,0.6970037219553782,0.5826561349790226,0.5714285714285714
7,3,150,0.5,0.5320197044334976,0.6225243891910558,0.6889325542871797,0.5514475236697459,0.5320197044334976
8,3,150,1,0.5714285714285714,0.6087002901519031,0.6970037219553782,0.5826561349790226,0.5714285714285714
9,4,50,0.25,0.6354679802955665,0.6228053369825522,0.7069947809452519,0.6344884488448845,0.6354679802955665
10,4,50,0.5,0.5960591133004927,0.6321164038113136,0.7105538574567332,0.6055688782307488,0.5960591133004927
11,4,50,1,0.6354679802955665,0.6228053369825522,0.7069947809452519,0.6344884488448845,0.6354679802955665
12,4,100,0.25,0.5911330049261084,0.6197357203751065,0.7078438303564621,0.6052921144699267,0.5911330049261084
13,4,100,0.5,0.5812807881773399,0.6222623454003792,0.7024237761559201,0.5938853029457859,0.5812807881773399
14,4,100,1,0.5911330049261084,0.6197357203751065,0.7078438303564621,0.6052921144699267,0.5911330049261084
15,4,150,0.25,0.5812807881773399,0.6130387039730755,0.7024237761559201,0.5960186238777191,0.5812807881773399
16,4,150,0.5,0.5911330049261084,0.6262684505949393,0.7078438303564621,0.601865174527045,0.5911330049261084
17,4,150,1,0.5812807881773399,0.6130387039730755,0.7024237761559201,0.5960186238777191,0.5812807881773399
18,5,50,0.25,0.7192118226600985,0.6846259437199725,0.7601591361182155,0.7066526331759307,0.7192118226600985
19,5,50,0.5,0.7192118226600985,0.6779824561403509,0.751086436695569,0.6994587257255166,0.7192118226600985
20,5,50,1,0.7192118226600985,0.6846259437199725,0.7601591361182155,0.7066526331759307,0.7192118226600985
21,5,100,0.25,0.6600985221674877,0.6423646290667567,0.7205449164466069,0.6568562339462201,0.6600985221674877
22,5,100,0.5,0.7044334975369458,0.6726462408645394,0.7520290548174025,0.6915696100738155,0.7044334975369458
23,5,100,1,0.6600985221674877,0.6423646290667567,0.7205449164466069,0.6568562339462201,0.6600985221674877
24,5,150,0.25,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034
25,5,150,0.5,0.7044334975369458,0.6726462408645394,0.7520290548174025,0.6915696100738155,0.7044334975369458
26,5,150,1,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034
