,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error
0,0.1427290916442871,0.2066529128129077,0.009781599044799805,0.002131472375277459,3,0.2,50,"{'max_depth': 3, 'max_features': 0.2, 'n_estimators': 50}",-0.4384503171900606,-0.45423138928707507,-0.5329899408909324,-0.3927110123498672,-0.5974398880621036,-0.4831645095560078,0.07288313295225375,25,-0.5697927113758565,-0.5646006172109777,-0.5758781275870363,-0.5249912478300942,-0.6352463933183498,-0.5741018194644629,0.03539068715172151,25
1,0.055168676376342776,0.0025653599512831956,0.014272451400756836,0.0009952241495250857,3,0.2,100,"{'max_depth': 3, 'max_features': 0.2, 'n_estimators': 100}",-0.44797868846185235,-0.4491010062771203,-0.5314605908196199,-0.39030591732047526,-0.5991325824307759,-0.4835957570619688,0.07321373905670653,27,-0.5776996267260645,-0.5616368993147011,-0.5752172166669389,-0.5239600517178014,-0.6367645948591881,-0.5750556778569388,0.03634785723014854,26
2,0.08933162689208984,0.007592506214490341,0.020930051803588867,0.002605815433576324,3,0.2,150,"{'max_depth': 3, 'max_features': 0.2, 'n_estimators': 150}",-0.4449935051482366,-0.4507807259877439,-0.5312447708248098,-0.3906548644861421,-0.5983067885293155,-0.48319613099524955,0.07298386174753013,26,-0.5761662735508523,-0.5646626267554872,-0.5764508103858061,-0.5254136610131793,-0.6363548034864722,-0.5758096350383595,0.03558164052111754,27
3,0.03833622932434082,0.005294903376192239,0.009952735900878907,0.0010645756165192565,3,0.5,50,"{'max_depth': 3, 'max_features': 0.5, 'n_estimators': 50}",-0.4345247883961903,-0.43764427643900516,-0.49234173668999653,-0.37174868987514126,-0.5258727302138306,-0.45242644432283274,0.05298201451610144,21,-0.5569730421404756,-0.5604693328043562,-0.5566560722810309,-0.493772443552646,-0.5845186648999419,-0.5504779111356901,0.03018101350027299,21
4,0.05932497978210449,0.0018937246781091403,0.013642692565917968,0.0013175384621106033,3,0.5,100,"{'max_depth': 3, 'max_features': 0.5, 'n_estimators': 100}",-0.4364774002436402,-0.43502396288374406,-0.48569227488619493,-0.37148470190846455,-0.5223107043044263,-0.45019780884529403,0.05113584892839532,20,-0.5567490122452152,-0.5579217946838682,-0.5530808566545221,-0.49457293974660893,-0.5835898730777717,-0.5491828952815971,0.02937650747156582,20
5,0.08998942375183105,0.006615549432743788,0.020549249649047852,0.0008747887612396343,3,0.5,150,"{'max_depth': 3, 'max_features': 0.5, 'n_estimators': 150}",-0.43414160551529357,-0.43305084008506856,-0.48123684124425464,-0.3725514475565081,-0.5269598218629863,-0.4495881112528222,0.05183579293007467,19,-0.5557335177520494,-0.5568291130761924,-0.5492512630759484,-0.49541726113824236,-0.5867245896182439,-0.5487911489321353,0.02966727111805127,19
6,0.0369814395904541,0.0027659814149300606,0.009370040893554688,0.00028137733641762745,3,0.8,50,"{'max_depth': 3, 'max_features': 0.8, 'n_estimators': 50}",-0.4430083625109656,-0.43831424767138766,-0.4769733640575508,-0.3766437030121952,-0.5072643987268044,-0.4484408151957807,0.04372917688198997,18,-0.551013028263173,-0.5598777335188875,-0.5531105345224058,-0.4919187501083772,-0.5725323300402286,-0.5456904752906144,0.0279161198616789,18
7,0.05889253616333008,0.013041903856767297,0.011269569396972656,0.0007096764397846384,3,0.8,100,"{'max_depth': 3, 'max_features': 0.8, 'n_estimators': 100}",-0.4377527069281797,-0.4384797808887095,-0.476137394610925,-0.37727775298177946,-0.5081855959077027,-0.4475666462634593,0.043841436480763926,16,-0.549700809421208,-0.5592796776502703,-0.5520853587858892,-0.4910449320722643,-0.5737384235110563,-0.5451698402881376,0.028330588502553062,16
8,0.08661475181579589,0.007652537970003382,0.01923260688781738,0.0015509828900615952,3,0.8,150,"{'max_depth': 3, 'max_features': 0.8, 'n_estimators': 150}",-0.43551588355732235,-0.43904600374885644,-0.4755470281966894,-0.37807714617299437,-0.5132116225914037,-0.4482795368534533,0.04502496302884282,17,-0.5487667641815419,-0.5598641978520962,-0.5506793359574198,-0.49190519724194176,-0.5769107657105123,-0.5456252521887024,0.028645376917589255,17
9,0.040162277221679685,0.004514962719896968,0.011323261260986327,0.00046048629746934996,4,0.2,50,"{'max_depth': 4, 'max_features': 0.2, 'n_estimators': 50}",-0.4333234195454514,-0.43346244127623695,-0.5125831635166936,-0.37495510778810415,-0.5589163762169418,-0.46264810166868564,0.06505826929172738,24,-0.5607532809685022,-0.5568068027967127,-0.5628536302339181,-0.5055409862629269,-0.6106586111089789,-0.5593226622742077,0.0333127371161245,24
10,0.055582952499389646,0.006218397878491833,0.012193012237548827,0.001625559024219976,4,0.2,100,"{'max_depth': 4, 'max_features': 0.2, 'n_estimators': 100}",-0.42840734246374973,-0.43198362731446,-0.514702908731889,-0.37323436963753465,-0.5567118852539388,-0.4610080266803144,0.065805477196071,23,-0.5563186653786958,-0.5545994671170503,-0.5671203817341509,-0.5082187239341869,-0.6095154162230405,-0.559154530877425,0.03232002698208224,23
