,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_micro,split1_test_f1_micro,split2_test_f1_micro,split3_test_f1_micro,split4_test_f1_micro,mean_test_f1_micro,std_test_f1_micro,rank_test_f1_micro
0,0.021217918395996092,0.012518563901467883,0.002506589889526367,0.00011510523070088051,0.2,3,50,"{'colsample_bytree': 0.2, 'max_depth': 3, 'n_estimators': 50}",0.7622950819672131,0.7540983606557377,0.5983606557377049,0.5041322314049587,0.7024793388429752,0.6642731337217179,0.09912229939844726,27,0.727946127946128,0.755249190180697,0.6305240840124561,0.5135642135642136,0.6797496238985601,0.6614066479204109,0.08530124038675731,27,0.7117194326813202,0.6965608465608466,0.5912698412698413,0.5145046524356869,0.646610779823121,0.6321331105541632,0.07238892136241423,27,0.7131196652102577,0.6953057708871663,0.6008310985479935,0.5074178403755868,0.6131253204423935,0.6259599390926796,0.07382963832422854,27,0.7622950819672131,0.7540983606557377,0.5983606557377049,0.5041322314049587,0.7024793388429752,0.6642731337217179,0.09912229939844726,27
1,0.02992110252380371,0.0007511307375197214,0.002609539031982422,5.913884306031172e-05,0.2,3,100,"{'colsample_bytree': 0.2, 'max_depth': 3, 'n_estimators': 100}",0.7868852459016393,0.7295081967213115,0.6475409836065574,0.5371900826446281,0.6942148760330579,0.6790678769814389,0.0842870049394976,23,0.7497911445279867,0.7086448004068142,0.665993265993266,0.554564598042859,0.6840277777777777,0.6726043173497407,0.06536711633699,26,0.7417322040734019,0.6787037037037038,0.6608465608465609,0.5560116767013318,0.6427332699565005,0.6560054830562998,0.06010429086345663,24,0.7406306306306306,0.6739459459459459,0.6527536231884058,0.542495126705653,0.6157347965153349,0.645112024597194,0.0654321670290731,24,0.7868852459016392,0.7295081967213115,0.6475409836065574,0.5371900826446281,0.6942148760330579,0.6790678769814387,0.08428700493949758,23
2,0.04433207511901856,0.0013528535952234788,0.0026594161987304687,2.720338226247004e-05,0.2,3,150,"{'colsample_bytree': 0.2, 'max_depth': 3, 'n_estimators': 150}",0.8360655737704918,0.7213114754098361,0.6229508196721312,0.5041322314049587,0.6776859504132231,0.6724292101341283,0.10951342643991663,25,0.8198412698412699,0.7026785714285714,0.6454175905395417,0.5589778284195034,0.6597619047619049,0.6773354329981582,0.08518953964347892,25,0.8106977213147811,0.6698412698412698,0.6415343915343915,0.5488277686553548,0.625391063866563,0.659258443042472,0.08567604851577905,23,0.8147431598135823,0.6759228135698724,0.6283334674190793,0.5189033189033189,0.5910704822469529,0.645794648390561,0.09884568027910832,23,0.8360655737704918,0.7213114754098362,0.6229508196721312,0.5041322314049587,0.6776859504132231,0.6724292101341283,0.10951342643991663,25
3,0.0188720703125,0.0001840053613190543,0.0025103092193603516,2.9064779654665198e-05,0.2,4,50,"{'colsample_bytree': 0.2, 'max_depth': 4, 'n_estimators': 50}",0.7950819672131147,0.7131147540983607,0.6229508196721312,0.49586776859504134,0.71900826446281,0.6692047148082916,0.1024096553254967,26,0.783003108003108,0.6854497354497355,0.6641337386018237,0.5380558314024054,0.7297385620915033,0.6800761951097153,0.08186955558062627,24,0.757696444175573,0.6550264550264551,0.6312169312169312,0.5185641306330961,0.6639529859130585,0.6452913893930228,0.07659740402126944,26,0.7668846780857432,0.6512356546687533,0.6337972302778128,0.5083318918295566,0.6391081081081081,0.6398715125939948,0.081977606035121,26,0.7950819672131149,0.7131147540983606,0.6229508196721312,0.49586776859504134,0.7190082644628101,0.6692047148082916,0.10240965532549673,26
4,0.0372525691986084,0.000634497494330522,0.0026735305786132813,5.239973923921672e-05,0.2,4,100,"{'colsample_bytree': 0.2, 'max_depth': 4, 'n_estimators': 100}",0.860655737704918,0.7213114754098361,0.6639344262295082,0.5454545454545454,0.71900826446281,0.7020728898523234,0.10177357017408814,19,0.8461662631154155,0.698090637221072,0.6971518489378442,0.5940832473340213,0.7279364049318624,0.712685680308043,0.08070997818764794,20,0.839534180278282,0.6712962962962963,0.6849206349206348,0.5896734172596242,0.6639529859130585,0.6898755029335791,0.08182895844742522,19,0.8426278582971918,0.6725226917057903,0.6719213212289069,0.5576965669988926,0.6377775625087453,0.6765092001479054,0.09300422680487916,19,0.860655737704918,0.7213114754098362,0.6639344262295082,0.5454545454545454,0.7190082644628101,0.7020728898523235,0.10177357017408814,19
5,0.05373826026916504,0.00046620416997241213,0.0027256011962890625,1.2926597157923319e-05,0.2,4,150,"{'colsample_bytree': 0.2, 'max_depth': 4, 'n_estimators': 150}",0.8524590163934426,0.7213114754098361,0.6557377049180327,0.5206611570247934,0.6859504132231405,0.6872239533938491,0.10695864255271453,22,0.8365079365079365,0.7038049669628618,0.6861173956762192,0.5712762297901617,0.6918767507002802,0.6979166559274919,0.0842089256428941,22,0.8393325267190965,0.6698412698412698,0.6808201058201059,0.5607325305601168,0.6349148733903726,0.6771282612661923,0.09133114467027008,22,0.8378289418862389,0.6750796937132341,0.6617462319560703,0.5344407530454042,0.5984065460809648,0.6615004333363824,0.10139151899582681,22,0.8524590163934426,0.7213114754098362,0.6557377049180327,0.5206611570247934,0.6859504132231405,0.6872239533938491,0.10695864255271455,22
6,0.022661685943603516,0.0002356185042726336,0.0025954246520996094,3.321471169904327e-05,0.2,5,50,"{'colsample_bytree': 0.2, 'max_depth': 5, 'n_estimators': 50}",0.819672131147541,0.7049180327868853,0.6065573770491803,0.5289256198347108,0.7107438016528925,0.674163392494242,0.0991174567769753,24,0.8057205104263927,0.6726579520697168,0.6627337311736289,0.5799962921764924,0.7144237405106971,0.6871064452713856,0.07360829316875796,23,0.7865329031390736,0.6457671957671959,0.6145502645502645,0.5711548987411056,0.6524587330394953,0.654092799047427,0.0721868053804639,25,0.7940035273368607,0.6430253623188406,0.6168950478390101,0.5418075276087447,0.6215608465608465,0.6434584623328605,0.08268257043541656,25,0.819672131147541,0.7049180327868853,0.6065573770491803,0.5289256198347108,0.7107438016528925,0.674163392494242,0.0991174567769753,24
7,0.04401111602783203,0.0006002977583471136,0.0027443408966064454,7.945566627166797e-05,0.2,5,100,"{'colsample_bytree': 0.2, 'max_depth': 5, 'n_estimators': 100}",0.860655737704918,0.7295081967213115,0.6557377049180327,0.5454545454545454,0.7107438016528925,0.70041999729034,0.10260506352337254,20,0.8461662631154155,0.7105711849957376,0.700038817364301,0.6116750632879665,0.7125197905249055,0.7161942238576652,0.07499747075780373,19,0.839534180278282,0.6805555555555555,0.6756613756613756,0.6007571611019887,0.6524587330394953,0.6897934011273394,0.08003584491262833,20,0.8426278582971918,0.6809550827423169,0.665459726762216,0.5587213540553944,0.6201975308641975,0.6735923105442633,0.09459355673543035,20,0.860655737704918,0.7295081967213115,0.6557377049180327,0.5454545454545454,0.7107438016528925,0.70041999729034,0.10260506352337254,20
8,0.06437335014343262,0.0006907543884746329,0.0028528213500976563,5.0001008897387104e-05,0.2,5,150,"{'colsample_bytree': 0.2, 'max_depth': 5, 'n_estimators': 150}",0.8524590163934426,0.7213114754098361,0.6557377049180327,0.5371900826446281,0.6942148760330579,0.6921826310797994,0.10187449336720798,21,0.8365079365079365,0.7038049669628618,0.6806557989049278,0.6004252899142002,0.6934640522875816,0.7029716089155016,0.07607467623682272,21,0.8393325267190965,0.6698412698412698,0.6756613756613756,0.5892629082284255,0.6520554259211246,0.6852307012742583,0.08292912081385097,21,0.8378289418862389,0.6750796937132341,0.6604872407007956,0.5495160665892374,0.6261843238587425,0.6698192533496496,0.09457153689292146,21,0.8524590163934426,0.7213114754098362,0.6557377049180327,0.5371900826446281,0.6942148760330579,0.6921826310797994,0.10187449336720798,21
9,0.016425466537475585,0.00011856703361317307,0.002498769760131836,5.0791551675243304e-06,0.5,3,50,"{'colsample_bytree': 0.5, 'max_depth': 3, 'n_estimators': 50}",0.860655737704918,0.7786885245901639,0.6885245901639344,0.5702479338842975,0.6942148760330579,0.7184663324752744,0.09726034560473613,18,0.8513706140350877,0.7744588744588744,0.7267873065827432,0.6069402736069403,0.7082809224318658,0.7335675982231022,0.08033618695623464,17,0.8203602876924112,0.7435185185185186,0.7093915343915344,0.617451195037402,0.6500849825713709,0.7081613036422474,0.07133223816146889,18,0.8270236841665413,0.7512355823573177,0.6986946709750219,0.5805215126194488,0.6163961163961164,0.6947743133028892,0.08931963324567853,18,0.860655737704918,0.7786885245901639,0.6885245901639344,0.5702479338842975,0.6942148760330579,0.7184663324752744,0.09726034560473613,18
