,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.14819693565368652,0.2076178410875851,0.011742496490478515,0.0010326956977820961,4,0.28317799131900695,66,"OrderedDict([('max_depth', 4), ('max_features', 0.28317799131900695), ('n_estimators', 66)])",-0.4175624857834556,-0.4176493536445034,-0.49135987988091295,-0.3654915613275263,-0.5322296567248135,-0.4448585874722424,0.059296911133662714,42
1,0.0829430103302002,0.002741200322090221,0.01898031234741211,0.0010855838093604792,3,0.6767046880272642,144,"OrderedDict([('max_depth', 3), ('max_features', 0.6767046880272642), ('n_estimators', 144)])",-0.4413469370767669,-0.4366282551671074,-0.47350463992746755,-0.37413186108366764,-0.5135881695470557,-0.4478399725604131,0.04600488750605414,44
2,0.05194849967956543,0.004054056230732801,0.011011028289794922,0.0017016310278115427,4,0.7256307627637708,88,"OrderedDict([('max_depth', 4), ('max_features', 0.7256307627637708), ('n_estimators', 88)])",-0.4182244121459428,-0.4157387186354189,-0.4617677434388144,-0.3627634339691372,-0.4891202900564264,-0.4295229196491479,0.043280629889906684,33
3,0.07897062301635742,0.004961835283263324,0.01843714714050293,0.002019867371287665,5,0.5299580881338504,138,"OrderedDict([('max_depth', 5), ('max_features', 0.5299580881338504), ('n_estimators', 138)])",-0.4078172332349119,-0.4081093284999256,-0.45041961508455125,-0.3500755714813511,-0.4927252809175529,-0.4218294058436586,0.047700774451071626,7
4,0.05552372932434082,0.0022172776990807947,0.013977479934692384,0.0013301588244072737,3,0.27317949397928276,102,"OrderedDict([('max_depth', 3), ('max_features', 0.27317949397928276), ('n_estimators', 102)])",-0.43793105840316865,-0.4353144735154632,-0.5062211179076009,-0.3746240129082392,-0.5521607318071926,-0.4612502789083329,0.06165654679600236,49
5,0.07137560844421387,0.004192863453586076,0.022129106521606445,0.01170244801458071,3,0.3816900977702603,127,"OrderedDict([('max_depth', 3), ('max_features', 0.3816900977702603), ('n_estimators', 127)])",-0.4400500940748328,-0.4334479772528339,-0.4938296108743758,-0.3713085854159819,-0.538102808617731,-0.4553478152471511,0.05675465240897811,47
6,0.07078619003295898,0.0029176413290528383,0.014983081817626953,0.0020363342403287546,4,0.7904918715197171,126,"OrderedDict([('max_depth', 4), ('max_features', 0.7904918715197171), ('n_estimators', 126)])",-0.40283401184315065,-0.4198026026504704,-0.46026210042179905,-0.3574984611439354,-0.49492474126628594,-0.4270643834651283,0.04729984881577081,25
7,0.059184837341308597,0.008460494104929581,0.012745428085327148,0.00276346447658832,4,0.47085924982583227,91,"OrderedDict([('max_depth', 4), ('max_features', 0.47085924982583227), ('n_estimators', 91)])",-0.41907809884360786,-0.41715055184160654,-0.46943685399178037,-0.3590017215325359,-0.4998177949788949,-0.43289700423768507,0.04840036894261653,36
8,0.05335693359375,0.0026041252091913523,0.015136098861694336,0.0019015064328284407,3,0.22405993400675644,88,"OrderedDict([('max_depth', 3), ('max_features', 0.22405993400675644), ('n_estimators', 88)])",-0.44800055614348117,-0.44732859929965585,-0.5302003860147863,-0.38867446441078535,-0.601490841976467,-0.4831389695690351,0.07438087936010655,50
9,0.04812326431274414,0.004903663335762565,0.011791372299194336,0.0006934803894145221,4,0.31232705521008347,85,"OrderedDict([('max_depth', 4), ('max_features', 0.31232705521008347), ('n_estimators', 85)])",-0.414989376758708,-0.4155551411499534,-0.4867363800397062,-0.3627816022162162,-0.523492311227801,-0.44071096227847695,0.057163784465306317,39
10,0.048193168640136716,0.017481606921156516,0.008263826370239258,0.0009805861507378728,5,0.8,64,"OrderedDict([('max_depth', 5), ('max_features', 0.8), ('n_estimators', 64)])",-0.41378606183719574,-0.40962330149264625,-0.4552041245308199,-0.3475021392831392,-0.49442164810612654,-0.4241074550499855,0.04918492627584261,19
11,0.07350683212280273,0.008402497466284908,0.01675114631652832,0.0029612957213232317,5,0.2,132,"OrderedDict([('max_depth', 5), ('max_features', 0.2), ('n_estimators', 132)])",-0.4160862638271494,-0.4209681043995157,-0.48964170727720585,-0.35881535297867845,-0.5264326496321706,-0.44238881562294396,0.05904472298741059,40
12,0.07672996520996093,0.007402179127910632,0.017409658432006835,0.0022595818352039426,5,0.8,135,"OrderedDict([('max_depth', 5), ('max_features', 0.8), ('n_estimators', 135)])",-0.40525365558462895,-0.41052594029536776,-0.4544332982646184,-0.3503539662849477,-0.49186710552223173,-0.422486793190359,0.047911156689872496,15
13,0.036764001846313475,0.004390674209411265,0.007156896591186524,0.001024811620155462,5,0.6045823263280196,50,"OrderedDict([('max_depth', 5), ('max_features', 0.6045823263280196), ('n_estimators', 50)])",-0.4128451447345373,-0.41217996068052615,-0.45346612472448444,-0.3643278621143813,-0.4962862313028961,-0.42782106471136505,0.044374445866872746,27
14,0.0948272705078125,0.014723367131078191,0.024148845672607423,0.009017124527553308,5,0.8,150,"OrderedDict([('max_depth', 5), ('max_features', 0.8), ('n_estimators', 150)])",-0.4045152317536047,-0.40842393323562715,-0.4551199314795477,-0.35101591180518993,-0.4910673150817732,-0.4220284646711486,0.04774094114886465,10
15,0.08746833801269531,0.010887596489914497,0.015440130233764648,0.0018214031165813239,5,0.7996276930999628,144,"OrderedDict([('max_depth', 5), ('max_features', 0.7996276930999628), ('n_estimators', 144)])",-0.4054468644913067,-0.4086024704504642,-0.45479845114798234,-0.3503850708849381,-0.49069181664618927,-0.42198493472417614,0.04770010713279957,9
