,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.021604061126708984,0.012889898173431776,0.0009839057922363282,8.603884040626626e-05,0.5318811050833346,4,66,"OrderedDict([('colsample_bytree', 0.5318811050833346), ('max_depth', 4), ('n_estimators', 66)])",-0.4493791374019423,-0.45640656536977303,-0.5416012996582921,-0.41986472288658,-0.5885491292121511,-0.4911601709057477,0.06334891543899898,10
1,0.05775494575500488,0.0012278462233688294,0.0011079788208007812,2.2756875403634022e-05,0.28035854418846373,6,144,"OrderedDict([('colsample_bytree', 0.28035854418846373), ('max_depth', 6), ('n_estimators', 144)])",-0.4899127462179163,-0.49419696773408583,-0.5240380133771537,-0.4538773711518098,-0.660513382997819,-0.5245076962957569,0.07155691592587089,24
2,0.050230979919433594,0.0007572832096969168,0.001078033447265625,3.6542218919539354e-05,0.5615154526090387,7,88,"OrderedDict([('colsample_bytree', 0.5615154526090387), ('max_depth', 7), ('n_estimators', 88)])",-0.43919756566838825,-0.48739742140120645,-0.5414657777058189,-0.411349584887265,-0.6912768994003132,-0.5141374498125983,0.0990167487211898,19
3,0.04275269508361816,0.0003899931978709322,0.0010288238525390625,3.1064028692059194e-06,0.686245943300492,5,138,"OrderedDict([('colsample_bytree', 0.686245943300492), ('max_depth', 5), ('n_estimators', 138)])",-0.5003290693166628,-0.44802269213374574,-0.5185900548330562,-0.45831234997277953,-0.6832394112918655,-0.5216987155096219,0.0848618992244205,23
4,0.016962242126464844,0.00011402784742246386,0.0009697914123535156,5.661324340689022e-06,0.2441260065161847,3,102,"OrderedDict([('colsample_bytree', 0.2441260065161847), ('max_depth', 3), ('n_estimators', 102)])",-0.4906598902955341,-0.4792209999689812,-0.5723191025201301,-0.4652127394685314,-0.5867428255072732,-0.51883111155209,0.050419191865262676,20
5,0.026977062225341797,0.0003275687338872077,0.0010077476501464844,1.3659033481479925e-05,0.2022325322159645,4,127,"OrderedDict([('colsample_bytree', 0.2022325322159645), ('max_depth', 4), ('n_estimators', 127)])",-0.4833251711126578,-0.5737667600628819,-0.6165238516597641,-0.4493903254503641,-0.6686798705437886,-0.5583371957658912,0.08160329484741821,26
6,0.0776782512664795,0.012982816122395428,0.0017285823822021484,0.001002180492875546,0.49381221055328156,7,126,"OrderedDict([('colsample_bytree', 0.49381221055328156), ('max_depth', 7), ('n_estimators', 126)])",-0.46552753478485503,-0.47641436449160274,-0.5356938720379301,-0.4117171186603013,-0.5876286198118894,-0.4953963019573157,0.06063886135283112,12
7,0.02788882255554199,9.442512366723516e-05,0.0009957313537597655,1.3080122163956053e-05,0.40884167257127857,5,91,"OrderedDict([('colsample_bytree', 0.40884167257127857), ('max_depth', 5), ('n_estimators', 91)])",-0.5424197981296527,-0.43162541867659227,-0.5601338071120698,-0.44112943972540714,-0.6222661767558019,-0.5195149280799047,0.07293997005484659,22
8,0.015276670455932617,0.0005335896221106664,0.0009533405303955078,9.82631696078052e-06,0.28396106083631273,3,88,"OrderedDict([('colsample_bytree', 0.28396106083631273), ('max_depth', 3), ('n_estimators', 88)])",-0.4531628206637,-0.4504875962040107,-0.5865090298659678,-0.4084402124352347,-0.5921736485061585,-0.4981546615350143,0.0761461247257912,14
9,0.039562654495239255,0.040434266787998385,0.0009865283966064454,4.078878541379592e-05,0.3870261135372618,4,85,"OrderedDict([('colsample_bytree', 0.3870261135372618), ('max_depth', 4), ('n_estimators', 85)])",-0.485861757012185,-0.4267548607926357,-0.5273391856799706,-0.44638279898330696,-0.6157987910052267,-0.5004274786946651,0.06722413548554904,15
10,0.020494699478149414,0.0230237350682613,0.0009380817413330078,1.9990569702037183e-05,0.2,3,50,"OrderedDict([('colsample_bytree', 0.2), ('max_depth', 3), ('n_estimators', 50)])",-0.46844238953237927,-0.4634373734938167,-0.5521389881304869,-0.41762253562241836,-0.5584668357506881,-0.4920216245059579,0.054657712467840826,11
11,0.03455209732055664,0.04329399472565337,0.0009593486785888672,4.982033330699853e-05,0.8,3,71,"OrderedDict([('colsample_bytree', 0.8), ('max_depth', 3), ('n_estimators', 71)])",-0.48005612737463466,-0.4273158555071805,-0.5519382654185891,-0.424873496671744,-0.566343781373235,-0.4901055052690767,0.059890416645687804,9
12,0.08301644325256348,0.025442389514282782,0.0011655807495117188,7.168837140117405e-05,0.8,7,150,"OrderedDict([('colsample_bytree', 0.8), ('max_depth', 7), ('n_estimators', 150)])",-0.45028739342197893,-0.4740203974270225,-0.5393487434558044,-0.39245052979519385,-0.6827916903002129,-0.5077797508800426,0.09936968811418047,18
13,0.02337617874145508,0.027877752229752847,0.0009427070617675781,2.3044114628201027e-05,0.8,3,50,"OrderedDict([('colsample_bytree', 0.8), ('max_depth', 3), ('n_estimators', 50)])",-0.47811278413320557,-0.41094434008767466,-0.5273815763979164,-0.4060962547685048,-0.5327523213001554,-0.4710574553374913,0.0545196936311971,5
14,0.017863893508911134,0.01043412122150474,0.0009628772735595703,1.7709606233888335e-05,0.8,4,50,"OrderedDict([('colsample_bytree', 0.8), ('max_depth', 4), ('n_estimators', 50)])",-0.4785115057800267,-0.42425872088089367,-0.5148884133618534,-0.39031922415112996,-0.5820854814040712,-0.4780126691155949,0.06748458616590941,6
