,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_f1_micro,split1_test_f1_micro,split2_test_f1_micro,split3_test_f1_micro,split4_test_f1_micro,mean_test_f1_micro,std_test_f1_micro,rank_test_f1_micro
0,0.15806841850280762,0.2089985389655057,0.018169641494750977,0.0025654968118109236,3,0.2,50,"{'max_depth': 3, 'max_features': 0.2, 'n_estimators': 50}",0.7918968692449355,0.8084714548802947,0.7693726937269373,0.8357933579335793,0.8413284132841329,0.8093725578139759,0.026927443927080557,13,0.3263888888888889,0.3458646616541353,0.30434782608695654,0.3953488372093023,0.40476190476190477,0.35534242372023755,0.038913705471151736,13,0.746031746031746,0.7301587301587301,0.7903225806451613,0.8225806451612904,0.8225806451612904,0.7823348694316437,0.03832366041131056,14,0.45410628019323673,0.4693877551020407,0.4394618834080718,0.5340314136125655,0.5425531914893618,0.4879081047610553,0.04229905006485121,9,0.7918968692449356,0.8084714548802947,0.7693726937269372,0.8357933579335792,0.8413284132841329,0.8093725578139759,0.026927443927080554,13
1,0.07425780296325683,0.0016942453915778214,0.025429344177246092,0.00125204617867452,3,0.2,100,"{'max_depth': 3, 'max_features': 0.2, 'n_estimators': 100}",0.7937384898710865,0.8011049723756906,0.7564575645756457,0.8247232472324724,0.8321033210332104,0.8016255190176211,0.02670214137639777,15,0.3310344827586207,0.3404255319148936,0.29411764705882354,0.381294964028777,0.3893129770992366,0.34723712057207035,0.034816421648093454,14,0.7619047619047619,0.7619047619047619,0.8064516129032258,0.8548387096774194,0.8225806451612904,0.8015360983102919,0.03591514796018199,3,0.4615384615384615,0.4705882352941176,0.43103448275862066,0.527363184079602,0.5284974093264249,0.4838043545994453,0.03834041195371547,13,0.7937384898710866,0.8011049723756906,0.7564575645756457,0.8247232472324724,0.8321033210332104,0.8016255190176211,0.026702141376397762,15
2,0.12910799980163573,0.00944073000226548,0.04072256088256836,0.004072235522019397,3,0.2,150,"{'max_depth': 3, 'max_features': 0.2, 'n_estimators': 150}",0.7863720073664825,0.7992633517495396,0.7712177121771218,0.8228782287822878,0.8210332103321033,0.800152902081507,0.019901644756349514,16,0.3197278911564626,0.3357142857142857,0.30625,0.38028169014084506,0.37410071942446044,0.34321491728721076,0.029333200998028823,16,0.746031746031746,0.746031746031746,0.7903225806451613,0.8709677419354839,0.8387096774193549,0.7984126984126985,0.04988197912637393,5,0.4476190476190476,0.4630541871921182,0.4414414414414414,0.5294117647058824,0.5174129353233831,0.47978787525637445,0.036506093527678106,16,0.7863720073664824,0.7992633517495397,0.7712177121771218,0.8228782287822878,0.8210332103321034,0.800152902081507,0.019901644756349555,16
3,0.05174694061279297,0.002554639704538335,0.0183319091796875,0.0007115478026435379,3,0.5,50,"{'max_depth': 3, 'max_features': 0.5, 'n_estimators': 50}",0.7569060773480663,0.7955801104972375,0.7583025830258303,0.7767527675276753,0.7988929889298892,0.7772869054657396,0.017762500666210768,25,0.2958579881656805,0.32857142857142857,0.2883435582822086,0.31901840490797545,0.3443708609271523,0.3152324481708891,0.020686667515259393,27,0.7936507936507936,0.7301587301587301,0.7580645161290323,0.8387096774193549,0.8387096774193549,0.7918586789554531,0.04322539279605725,11,0.4310344827586207,0.45320197044334976,0.41777777777777786,0.4622222222222222,0.488262910798122,0.4504998728000185,0.02457803392708554,27,0.7569060773480663,0.7955801104972374,0.7583025830258303,0.7767527675276754,0.7988929889298891,0.7772869054657396,0.017762500666210716,25
4,0.0797041893005371,0.012887366693959753,0.023762845993041994,0.003974602565424363,3,0.5,100,"{'max_depth': 3, 'max_features': 0.5, 'n_estimators': 100}",0.7569060773480663,0.7937384898710865,0.7509225092250923,0.8099630996309963,0.7878228782287823,0.7798706108608048,0.022478776179716494,24,0.2982456140350877,0.3262411347517731,0.28654970760233917,0.3624161073825503,0.33540372670807456,0.32177125809596496,0.027025326340163407,24,0.8095238095238095,0.7301587301587301,0.7903225806451613,0.8709677419354839,0.8709677419354839,0.8143881208397337,0.053103500921512246,1,0.43589743589743585,0.4509803921568628,0.4206008583690987,0.5118483412322274,0.48430493273542596,0.4607263920782102,0.03313886328697669,23,0.7569060773480663,0.7937384898710866,0.7509225092250923,0.8099630996309963,0.7878228782287823,0.7798706108608048,0.022478776179716504,24
5,0.12952260971069335,0.015698679176509366,0.04013447761535645,0.0037244720045485342,3,0.5,150,"{'max_depth': 3, 'max_features': 0.5, 'n_estimators': 150}",0.7661141804788214,0.7974217311233885,0.7509225092250923,0.8081180811808119,0.7785977859778598,0.7802348575971948,0.020659864819862903,23,0.3072289156626506,0.33093525179856115,0.28654970760233917,0.36,0.3253012048192771,0.3220030159765656,0.024534240546887416,22,0.8095238095238095,0.7301587301587301,0.7903225806451613,0.8709677419354839,0.8709677419354839,0.8143881208397337,0.053103500921512246,1,0.44541484716157204,0.4554455445544554,0.4206008583690987,0.5094339622641509,0.4736842105263158,0.4609158845751186,0.029707043370436257,22,0.7661141804788214,0.7974217311233885,0.7509225092250923,0.8081180811808119,0.7785977859778597,0.7802348575971948,0.020659864819862903,23
6,0.054473352432250974,0.0027672699392712907,0.017056703567504883,0.0014464260255390932,3,0.8,50,"{'max_depth': 3, 'max_features': 0.8, 'n_estimators': 50}",0.7826887661141805,0.8011049723756906,0.7564575645756457,0.8081180811808119,0.7638376383763837,0.7824414045245425,0.020144188890031313,22,0.3225806451612903,0.3357664233576642,0.2891566265060241,0.352112676056338,0.3103448275862069,0.3219922397335047,0.021499556951207564,23,0.7936507936507936,0.7301587301587301,0.7741935483870968,0.8064516129032258,0.8709677419354839,0.7950844854070661,0.04591583740946639,9,0.4587155963302752,0.45999999999999996,0.4210526315789473,0.49019607843137253,0.4576271186440678,0.4575182849969326,0.021932561963859572,24,0.7826887661141805,0.8011049723756906,0.7564575645756457,0.8081180811808119,0.7638376383763837,0.7824414045245425,0.020144188890031313,22
7,0.08012475967407226,0.010793052950497328,0.02082691192626953,0.0027187480177848877,3,0.8,100,"{'max_depth': 3, 'max_features': 0.8, 'n_estimators': 100}",0.7790055248618785,0.8011049723756906,0.7250922509225092,0.8118081180811808,0.7601476014760148,0.7754316935434548,0.03086356017102565,26,0.32075471698113206,0.3333333333333333,0.2648648648648649,0.3591549295774648,0.3045977011494253,0.3165411091812441,0.03139665648914633,25,0.8095238095238095,0.7142857142857143,0.7903225806451613,0.8225806451612904,0.8548387096774194,0.798310291858679,0.04697699057133306,7,0.45945945945945943,0.4545454545454545,0.3967611336032389,0.5,0.4491525423728813,0.45198371799620685,0.03294104407722838,25,0.7790055248618785,0.8011049723756906,0.7250922509225093,0.8118081180811808,0.7601476014760148,0.7754316935434548,0.030863560171025615,26
8,0.11598424911499024,0.004509245815077969,0.03880276679992676,0.005303328298937198,3,0.8,150,"{'max_depth': 3, 'max_features': 0.8, 'n_estimators': 150}",0.7771639042357275,0.7955801104972375,0.7306273062730627,0.8118081180811808,0.7601476014760148,0.7750654081126447,0.028187122186175424,27,0.31875,0.3235294117647059,0.2692307692307692,0.3611111111111111,0.3045977011494253,0.3154437986512023,0.029715630410014397,26,0.8095238095238095,0.6984126984126984,0.7903225806451613,0.8387096774193549,0.8548387096774194,0.7983614951356887,0.05476611169518525,6,0.45739910313901344,0.44221105527638194,0.4016393442622951,0.5048543689320389,0.4491525423728813,0.4510512827965222,0.03304046430763597,26,0.7771639042357275,0.7955801104972374,0.7306273062730626,0.8118081180811808,0.7601476014760148,0.7750654081126446,0.02818712218617544,27
9,0.06168894767761231,0.011104457259727349,0.017243146896362305,0.002711599035676582,4,0.2,50,"{'max_depth': 4, 'max_features': 0.2, 'n_estimators': 50}",0.8139963167587477,0.8139963167587477,0.7859778597785978,0.8579335793357934,0.8431734317343174,0.8230155008732407,0.02513997852884826,4,0.3467741935483871,0.3602941176470588,0.30985915492957744,0.4336283185840708,0.4049586776859504,0.3711028924790089,0.043623740544906024,4,0.6825396825396826,0.7777777777777778,0.7096774193548387,0.7903225806451613,0.7903225806451613,0.7501280081925243,0.04516668898488852,20,0.45989304812834225,0.49246231155778897,0.4313725490196078,0.5599999999999999,0.53551912568306,0.49584940687775986,0.047224109386012805,6,0.8139963167587477,0.8139963167587477,0.7859778597785979,0.8579335793357934,0.8431734317343174,0.8230155008732407,0.02513997852884823,4
